iter	RMSE
0	2.134038123
1	2.108661333
2	2.088912699
3	2.066260341
4	2.046796238
5	2.030260629
6	2.016551941
7	2.008176438
8	1.992639315
9	1.985521556
10	1.973825854
11	1.962738339
12	1.954930325
13	1.948707762
14	1.939043635
15	1.930632426
16	1.925218081
17	1.917249438
18	1.911579895
19	1.907062216
20	1.90033844
21	1.893997481
22	1.890935322
23	1.885819927
24	1.880042178
25	1.87431364
26	1.872112075
27	1.869261059
28	1.866665707
29	1.86379477
30	1.856245027
31	1.853045944
32	1.850211109
33	1.846898719
34	1.843268559
35	1.835809548
36	1.833107104
37	1.827573642
38	1.824673154
39	1.819443234
40	1.815292012
41	1.812433972
42	1.807948218
43	1.805663416
44	1.803255443
45	1.798361004
46	1.791635349
47	1.788547013
48	1.784455409
49	1.779336569
50	1.776891751
51	1.774709928
52	1.773985165
53	1.769166228
54	1.767214074
55	1.76165321
56	1.758234757
57	1.751803715
58	1.744559679
59	1.742087765
60	1.739161777
61	1.737012364
62	1.735128635
63	1.732593563
64	1.730297689
65	1.728646913
66	1.724537936
67	1.7210614
68	1.714771002
69	1.713761129
70	1.709069644
71	1.707774026
72	1.70549223
73	1.702073736
74	1.696367126
75	1.692405868
76	1.688899332
77	1.683230042
78	1.678725251
79	1.675304207
80	1.672555927
81	1.668166821
82	1.665170419
83	1.663667033
84	1.661135005
85	1.65753454
86	1.654263379
87	1.652014455
88	1.648171865
89	1.644402737
90	1.639527528
91	1.636618478
92	1.635677845
93	1.631614637
94	1.629849336
95	1.625372122
96	1.624661098
97	1.62405576
98	1.61947308
99	1.619050139
