iter	Passed	Remaining
0	47	4679
1	47	2339
2	48	1558
3	48	1165
4	48	929
5	49	772
6	49	659
7	50	575
8	50	510
9	50	457
10	51	413
11	51	377
12	51	347
13	52	321
14	52	298
15	53	278
16	53	260
17	53	245
18	54	231
19	54	218
20	55	207
21	55	196
22	55	186
23	56	178
24	56	169
25	56	162
26	57	154
27	57	148
28	58	142
29	58	136
30	58	130
31	59	125
32	59	120
33	59	116
34	60	112
35	60	108
36	61	104
37	61	100
38	61	96
39	62	93
40	62	90
41	63	87
42	63	84
43	63	81
44	64	78
45	64	75
46	65	73
47	65	71
48	66	68
49	66	66
50	66	64
51	67	61
52	67	59
53	67	57
54	68	55
55	68	53
56	69	52
57	69	50
58	69	48
59	70	46
60	70	45
61	70	43
62	71	41
63	71	40
64	72	38
65	72	37
66	72	35
67	73	34
68	73	33
69	74	31
70	74	30
71	74	29
72	75	27
73	75	26
74	76	25
75	76	24
76	76	22
77	77	21
78	77	20
79	77	19
80	78	18
81	78	17
82	79	16
83	79	15
84	79	14
85	80	13
86	80	12
87	81	11
88	81	10
89	81	9
90	82	8
91	82	7
92	82	6
93	83	5
94	83	4
95	84	3
96	84	2
97	84	1
98	85	0
99	85	0
