iter	RMSE
0	2.129345439
1	2.090960084
2	2.065793894
3	2.040814106
4	2.018593181
5	1.999246049
6	1.9786471
7	1.967124104
8	1.949404121
9	1.936012143
10	1.918037535
11	1.911833409
12	1.904816309
13	1.894542352
14	1.884457753
15	1.87959214
16	1.863536261
17	1.857761504
18	1.850559213
19	1.84513869
20	1.836416825
21	1.828873607
22	1.819686101
23	1.815738654
24	1.808631849
25	1.79985892
26	1.79697851
27	1.789924577
28	1.78517141
29	1.779702408
30	1.776216046
31	1.767591435
32	1.761183178
33	1.757405324
34	1.75094647
35	1.74630073
36	1.744373502
37	1.739000436
38	1.734515391
39	1.729151729
40	1.72264594
41	1.716295217
42	1.713061043
43	1.708479554
44	1.705284609
45	1.700399081
46	1.693336757
47	1.691477407
48	1.686750412
49	1.682281069
50	1.674713657
51	1.672280664
52	1.666250523
53	1.66166677
54	1.659249338
55	1.654194821
56	1.649442754
57	1.646804254
58	1.641683409
59	1.638953399
60	1.635206188
61	1.632248817
62	1.626344835
63	1.622505117
64	1.618011362
65	1.613580324
66	1.610495451
67	1.607276657
68	1.602855298
69	1.599029505
70	1.593884031
71	1.589519497
72	1.586708515
73	1.584078768
74	1.580703091
75	1.575716889
76	1.568218834
77	1.562608483
78	1.560012082
79	1.556446355
80	1.551108305
81	1.548501205
82	1.544992398
83	1.539172648
84	1.534106162
85	1.532615735
86	1.52766939
87	1.525503497
88	1.520616403
89	1.515945949
90	1.512350343
91	1.508834618
92	1.505384754
93	1.50090734
94	1.497072826
95	1.491314958
96	1.488867355
97	1.48214932
98	1.4786293
99	1.477334087
100	1.475592222
101	1.473736547
102	1.470258687
103	1.469120033
104	1.465491569
105	1.463327408
106	1.458467006
107	1.454696458
108	1.453226951
109	1.450609018
110	1.447888799
111	1.444539992
112	1.443692482
113	1.440267198
114	1.439136751
115	1.434345086
116	1.431721318
117	1.430685251
118	1.427084798
119	1.425156948
120	1.423884008
121	1.4195534
122	1.416877177
123	1.414645931
124	1.41185266
125	1.410223294
126	1.40708928
127	1.401031231
128	1.398603641
129	1.393365201
130	1.38859883
131	1.385032454
132	1.382274945
133	1.379080292
134	1.376847531
135	1.37514839
136	1.371836545
137	1.369226311
138	1.3665501
139	1.364468933
140	1.363512089
141	1.360940793
142	1.357729841
143	1.352724384
144	1.350348339
145	1.347944453
146	1.345843537
147	1.342306304
148	1.341358205
149	1.340701508
150	1.339435795
151	1.335429866
152	1.332165
153	1.329500353
154	1.326278754
155	1.321881962
156	1.316159326
157	1.312483178
158	1.311028886
159	1.310032313
160	1.305340151
161	1.304020124
162	1.299604515
163	1.298363496
164	1.296426839
165	1.294656592
166	1.291950487
167	1.289645908
168	1.28860945
169	1.285255492
170	1.283808049
171	1.28113988
172	1.278402563
173	1.275763603
174	1.272028726
175	1.26861778
176	1.26700355
177	1.265407464
178	1.265038929
179	1.261762768
180	1.257730211
181	1.255727593
182	1.253895096
183	1.253256207
184	1.251341224
185	1.249305199
186	1.248226329
187	1.245964749
188	1.245187537
189	1.243801984
190	1.242639063
191	1.24141962
192	1.240387471
193	1.23868776
194	1.236816016
195	1.23581521
196	1.23392287
197	1.232194754
198	1.230491136
199	1.228541872
200	1.223916451
201	1.221613713
202	1.220022729
203	1.217876525
204	1.216693762
205	1.213593112
206	1.210894666
207	1.20889254
208	1.20618829
209	1.205582645
210	1.203249207
211	1.202739017
212	1.200298026
213	1.196962107
214	1.192201442
215	1.189756163
216	1.188021324
217	1.184583543
218	1.182036844
219	1.179821483
220	1.17819905
221	1.176143694
222	1.173793623
223	1.171852619
224	1.171111849
225	1.168948527
226	1.166832995
227	1.164792562
228	1.164391398
229	1.162295304
230	1.160036584
231	1.156646209
232	1.15393061
233	1.15034924
234	1.148432317
235	1.147094865
236	1.14535325
237	1.143007866
238	1.140334914
239	1.139436473
240	1.138176745
241	1.137412479
242	1.135627885
243	1.13320399
244	1.131417099
245	1.129100335
246	1.126536361
247	1.126010499
248	1.125600765
249	1.12264223
250	1.121960354
251	1.120654517
252	1.118930761
253	1.116131331
254	1.113663596
255	1.112656187
256	1.111505001
257	1.109597196
258	1.106394459
259	1.10396525
260	1.102984224
261	1.100362367
262	1.097482751
263	1.095250905
264	1.094519717
265	1.09385612
266	1.090802005
267	1.088347321
268	1.088037091
269	1.086573072
270	1.085498997
271	1.082221184
272	1.082109434
273	1.079731166
274	1.079203771
275	1.075970393
276	1.074004541
277	1.071291501
278	1.068725507
279	1.067919371
280	1.065862725
281	1.064301478
282	1.063536918
283	1.060730447
284	1.058918162
285	1.057945876
286	1.057125217
287	1.055193296
288	1.053116346
289	1.052216669
290	1.049861626
291	1.048555797
292	1.044551122
293	1.043201577
294	1.04085309
295	1.038566118
296	1.038286325
297	1.035540567
298	1.033952353
299	1.032610137
