iter	RMSE
0	2.139295376
1	2.114979369
2	2.091630526
3	2.069759141
4	2.049199726
5	2.027161531
6	2.00955597
7	1.991148625
8	1.97535922
9	1.955623343
10	1.936334198
11	1.919444565
12	1.903881539
13	1.889800301
14	1.873517947
15	1.859853486
16	1.844229179
17	1.831235332
18	1.81975662
19	1.805966501
20	1.792693268
21	1.780770174
22	1.766291075
23	1.754034365
24	1.742208043
25	1.730212278
26	1.720640785
27	1.70928867
28	1.697484574
29	1.686092762
30	1.679038551
31	1.665486402
32	1.653386932
33	1.643646207
34	1.635807478
35	1.627167786
36	1.618510854
37	1.612732703
38	1.603016536
39	1.596830432
40	1.587484071
41	1.577802339
42	1.569565857
43	1.562463862
44	1.554180293
45	1.54704581
46	1.540707399
47	1.535829649
48	1.531194722
49	1.524467885
50	1.516650376
51	1.510890078
52	1.505125967
53	1.499246279
54	1.49248777
55	1.486671713
56	1.482283869
57	1.47571562
58	1.470439343
59	1.466528574
60	1.459730943
61	1.453083476
62	1.446609306
63	1.442747107
64	1.438803293
65	1.433190475
66	1.429646818
67	1.423580267
68	1.417578161
69	1.41446093
70	1.408486605
71	1.403404552
72	1.398761024
73	1.394102948
74	1.389720466
75	1.384213118
76	1.380876863
77	1.373722566
78	1.369335251
79	1.366068689
80	1.363460854
81	1.359091883
82	1.355352902
83	1.35170736
84	1.347277041
85	1.342704756
86	1.339741029
87	1.332737019
88	1.329123017
89	1.325058064
90	1.321868034
91	1.317583963
92	1.31510853
93	1.311635829
94	1.305641473
95	1.300901466
96	1.297880804
97	1.295798718
98	1.291339358
99	1.286826682
100	1.285896679
101	1.281450725
102	1.276077082
103	1.272431433
104	1.268910682
105	1.266299721
106	1.261784974
107	1.257562975
108	1.25383243
109	1.252150256
110	1.249630598
111	1.247191747
112	1.244217125
113	1.240336704
114	1.233381332
115	1.231203564
116	1.228021156
117	1.22289836
118	1.217317156
119	1.212272711
120	1.208004325
121	1.201810548
122	1.198134276
123	1.194894567
124	1.19097811
125	1.188933125
126	1.185221833
127	1.181009001
128	1.177255856
129	1.173696674
130	1.170664489
131	1.166621696
132	1.163252655
133	1.161012022
134	1.157153936
135	1.1535426
136	1.15221071
137	1.149389929
138	1.145959818
139	1.143376476
140	1.13995955
141	1.13689361
142	1.133989486
143	1.131363567
144	1.130108533
145	1.128316691
146	1.125149156
147	1.123007263
148	1.119638945
149	1.117298726
150	1.113679046
151	1.110648358
152	1.106247473
153	1.105119081
154	1.100295634
155	1.099843837
156	1.097581745
157	1.093788498
158	1.091351328
159	1.089985657
160	1.0893256
161	1.088807282
162	1.087573208
163	1.08337141
164	1.081741746
165	1.080125213
166	1.07749369
167	1.072622117
168	1.067334913
169	1.065782017
170	1.062883339
171	1.058870452
172	1.056210747
173	1.05178961
174	1.050673777
175	1.048196578
176	1.044696684
177	1.042617965
178	1.040919817
179	1.036939998
180	1.03677342
181	1.0350576
182	1.034302934
183	1.031096156
184	1.028733757
185	1.025785408
186	1.02348778
187	1.021377564
188	1.019823204
189	1.018583728
190	1.016033576
191	1.013734068
192	1.009769826
193	1.008194511
194	1.007045895
195	1.0038085
196	0.9992788976
197	0.9963001872
198	0.9917194889
199	0.9904708389
200	0.9863015159
201	0.9843099795
202	0.9825496635
203	0.9789998804
204	0.9745430635
205	0.9708535703
206	0.969577993
207	0.9693144115
208	0.9656333053
209	0.9625532956
210	0.9583363069
211	0.9544939241
212	0.9498551407
213	0.9488207792
214	0.9449767938
215	0.9419963253
216	0.9409899645
217	0.9368708516
218	0.9346023229
219	0.9326229037
220	0.9296597561
221	0.928765801
222	0.9256797585
223	0.9231283385
224	0.9224387925
225	0.9212255231
226	0.9177459114
227	0.9155032427
228	0.9139570258
229	0.9107734727
230	0.9077239844
231	0.9069053355
232	0.9054529366
233	0.9020968983
234	0.898555083
235	0.894924864
236	0.8906852865
237	0.8867974922
238	0.8859007792
239	0.8829658456
240	0.8806037094
241	0.8789655184
242	0.8770260833
243	0.8762207902
244	0.874112614
245	0.8707930214
246	0.8686648004
247	0.8679877876
248	0.8643713555
249	0.8599907099
250	0.8565778938
251	0.8559756526
252	0.85251885
253	0.8516328882
254	0.8499882357
255	0.8472660827
256	0.8434039768
257	0.8418636262
258	0.8408723333
259	0.8371596847
260	0.8356970028
261	0.835242305
262	0.8316243433
263	0.8308907771
264	0.8304653349
265	0.8271823325
266	0.8243167445
267	0.8207045071
268	0.8200806001
269	0.8170747121
270	0.8134742559
271	0.8104540397
272	0.8080962367
273	0.8058594792
274	0.8036337749
275	0.7993125907
276	0.7991124545
277	0.7967162477
278	0.7940877764
279	0.7922819074
280	0.7896180087
281	0.7863168481
282	0.7859805158
283	0.7836554329
284	0.7805764835
285	0.7782558992
286	0.7778063438
287	0.7759439278
288	0.7730346598
289	0.7721397806
290	0.77180923
291	0.7694530391
292	0.7664360643
293	0.7655020306
294	0.7643002327
295	0.7621180783
296	0.7599878905
297	0.7578818121
298	0.7549526418
299	0.7524731267
