iter	Passed	Remaining
0	57	17311
1	64	9588
2	70	6967
3	76	5667
4	82	4883
5	89	4369
6	95	4017
7	102	3727
8	108	3504
9	114	3329
10	121	3183
11	127	3064
12	134	2959
13	140	2871
14	146	2788
15	153	2717
16	159	2660
17	166	2603
18	172	2551
19	178	2496
20	184	2453
21	191	2418
22	198	2385
23	206	2375
24	212	2340
25	219	2308
26	225	2277
27	231	2252
28	238	2225
29	244	2203
30	251	2181
31	257	2159
32	264	2137
33	270	2114
34	277	2097
35	283	2076
36	289	2059
37	295	2040
38	302	2022
39	309	2010
40	315	1994
41	322	1978
42	328	1961
43	334	1947
44	340	1930
45	346	1915
46	353	1901
47	359	1888
48	366	1877
49	373	1866
50	380	1855
51	386	1842
52	392	1829
53	398	1816
54	405	1805
55	411	1794
56	417	1781
57	424	1771
58	431	1761
59	437	1750
60	443	1739
61	450	1728
62	456	1718
63	463	1707
64	469	1697
65	475	1686
66	482	1676
67	488	1666
68	494	1656
69	500	1645
70	507	1635
71	513	1626
72	519	1616
73	525	1606
74	532	1596
75	538	1587
76	544	1578
77	551	1569
78	557	1559
79	564	1552
80	571	1543
81	577	1535
82	584	1529
83	591	1521
84	598	1514
85	605	1507
86	612	1499
87	619	1491
88	625	1483
89	631	1474
90	638	1465
91	644	1457
92	651	1450
93	657	1441
94	663	1432
95	670	1424
96	677	1417
97	683	1409
98	690	1401
99	696	1393
100	703	1385
101	710	1379
102	716	1371
103	723	1363
104	729	1355
105	736	1347
106	742	1339
107	748	1331
108	755	1323
109	761	1315
110	767	1307
111	774	1299
112	780	1292
113	787	1285
114	794	1278
115	801	1271
116	808	1264
117	814	1256
118	821	1248
119	827	1241
120	833	1232
121	839	1225
122	846	1217
123	852	1209
124	858	1201
125	864	1194
126	871	1186
127	877	1179
128	884	1172
129	891	1165
130	898	1158
131	904	1151
132	910	1143
133	917	1136
134	924	1129
135	930	1122
136	936	1114
137	943	1107
138	949	1099
139	956	1092
140	962	1085
141	969	1078
142	975	1071
143	982	1064
144	988	1057
145	995	1049
146	1001	1042
147	1008	1035
148	1014	1028
149	1020	1020
150	1027	1013
151	1033	1006
152	1039	999
153	1046	992
154	1053	985
155	1059	977
156	1065	970
157	1071	963
158	1077	955
159	1084	949
160	1090	941
161	1096	934
162	1102	926
163	1108	919
164	1114	911
165	1120	904
166	1127	897
167	1133	890
168	1139	883
169	1145	876
170	1152	869
171	1158	862
172	1164	855
173	1171	848
174	1174	839
175	1181	832
176	1188	825
177	1194	818
178	1201	812
179	1208	805
180	1210	795
181	1216	788
182	1222	781
183	1229	775
184	1235	768
185	1242	761
186	1248	754
187	1254	747
188	1261	740
189	1267	733
190	1273	727
191	1280	720
192	1286	713
193	1293	706
194	1299	699
195	1305	692
196	1312	685
197	1318	679
198	1325	672
199	1332	666
200	1338	659
201	1345	652
202	1352	646
203	1358	639
204	1365	632
205	1371	625
206	1377	618
207	1384	612
208	1390	605
209	1397	598
210	1403	592
211	1410	585
212	1417	579
213	1424	572
214	1430	565
215	1437	558
216	1444	552
217	1451	546
218	1458	539
219	1464	532
220	1470	525
221	1477	519
222	1487	513
223	1499	508
224	1506	502
225	1512	495
226	1519	488
227	1525	481
228	1531	474
229	1538	468
230	1545	461
231	1551	454
232	1557	447
233	1564	441
234	1571	434
235	1577	427
236	1584	421
237	1590	414
238	1599	408
239	1607	401
240	1616	395
241	1628	390
242	1637	384
243	1646	377
244	1656	371
245	1667	366
246	1683	361
247	1695	355
248	1704	349
249	1716	343
250	1727	337
251	1743	332
252	1750	325
253	1757	318
254	1763	311
255	1769	304
256	1776	297
257	1782	290
258	1788	283
259	1794	276
260	1800	269
261	1806	262
262	1813	255
263	1819	248
264	1826	241
265	1832	234
266	1838	227
267	1845	220
268	1851	213
269	1858	206
270	1864	199
271	1870	192
272	1877	185
273	1883	178
274	1890	171
275	1897	165
276	1903	158
277	1910	151
278	1917	144
279	1924	137
280	1931	130
281	1937	123
282	1944	116
283	1950	109
284	1957	103
285	1963	96
286	1969	89
287	1976	82
288	1983	75
289	1989	68
290	1995	61
291	2002	54
292	2008	47
293	2014	41
294	2021	34
295	2027	27
296	2033	20
297	2040	13
298	2046	6
299	2053	0
