iter	Passed	Remaining
0	52	15617
1	55	8249
2	58	5785
3	61	4544
4	64	3803
5	67	3312
6	70	2957
7	73	2684
8	76	2477
9	79	2308
10	82	2171
11	85	2053
12	88	1956
13	91	1871
14	94	1800
15	97	1734
16	100	1676
17	104	1630
18	107	1584
19	110	1542
20	113	1503
21	116	1469
22	119	1436
23	122	1405
24	125	1378
25	128	1354
26	131	1330
27	134	1307
28	137	1286
29	140	1266
30	143	1248
31	147	1231
32	149	1212
33	152	1196
34	155	1180
35	158	1165
36	162	1151
37	165	1139
38	168	1127
39	171	1115
40	174	1103
41	177	1091
42	180	1080
43	183	1069
44	186	1058
45	189	1048
46	192	1038
47	195	1028
48	198	1019
49	201	1009
50	205	1000
51	207	991
52	210	983
53	214	974
54	217	967
55	220	959
56	223	951
57	226	944
58	229	936
59	232	930
60	235	923
61	238	915
62	241	908
63	244	901
64	247	895
65	250	889
66	253	882
67	258	883
68	261	877
69	265	870
70	268	864
71	271	858
72	274	852
73	277	846
74	280	840
75	283	834
76	286	828
77	289	823
78	292	817
79	295	812
80	298	806
81	301	801
82	304	796
83	307	790
84	310	785
85	313	780
86	316	774
87	319	769
88	322	764
89	325	759
90	328	754
91	331	749
92	334	744
93	337	740
94	340	735
95	343	730
96	346	725
97	349	720
98	352	716
99	355	711
100	358	706
101	361	702
102	364	697
103	367	693
104	370	688
105	373	684
106	377	680
107	380	675
108	383	671
109	386	667
110	389	662
111	392	658
112	395	654
113	398	650
114	401	646
115	404	641
116	407	637
117	410	633
118	414	629
119	417	625
120	420	621
121	423	617
122	426	613
123	429	609
124	432	605
125	435	601
126	438	597
127	441	593
128	444	589
129	447	585
130	450	581
131	453	577
132	456	573
133	459	569
134	462	565
135	465	561
136	468	557
137	472	554
138	475	550
139	478	546
140	481	542
141	484	539
142	487	535
143	491	532
144	494	528
145	497	525
146	500	521
147	503	517
148	506	513
149	510	510
150	513	506
151	516	502
152	519	499
153	522	495
154	525	491
155	528	487
156	531	484
157	534	480
158	538	477
159	541	473
160	544	469
161	547	466
162	550	462
163	553	459
164	556	455
165	559	451
166	562	448
167	565	444
168	568	440
169	571	437
170	574	433
171	577	430
172	581	426
173	584	423
174	587	419
175	590	415
176	593	412
177	596	408
178	599	405
179	602	401
180	605	398
181	608	394
182	611	391
183	614	387
184	617	384
185	620	380
186	623	377
187	626	373
188	629	369
189	632	366
190	635	362
191	638	359
192	641	355
193	644	352
194	647	348
195	650	345
196	653	341
197	656	338
198	660	334
199	663	331
200	665	328
201	669	324
202	672	321
203	675	317
204	678	314
205	681	310
206	684	307
207	687	304
208	690	300
209	693	297
210	696	293
211	699	290
212	702	287
213	705	283
214	708	280
215	712	276
216	715	273
217	718	270
218	721	266
219	724	263
220	727	260
221	730	256
222	733	253
223	736	249
224	740	246
225	743	243
226	746	240
227	749	236
228	752	233
229	755	229
230	758	226
231	761	223
232	764	219
233	767	216
234	770	213
235	773	209
236	776	206
237	779	203
238	782	199
239	785	196
240	788	193
241	792	189
242	795	186
243	798	183
244	801	179
245	804	176
246	807	173
247	810	169
248	813	166
249	815	163
250	818	159
251	821	156
252	824	153
253	827	149
254	830	146
255	833	143
256	836	140
257	839	136
258	842	133
259	846	130
260	849	126
261	851	123
262	855	120
263	857	116
264	860	113
265	864	110
266	866	107
267	870	103
268	873	100
269	876	97
270	879	94
271	882	90
272	885	87
273	888	84
274	891	81
275	894	77
276	897	74
277	900	71
278	903	68
279	906	64
280	909	61
281	912	58
282	915	55
283	918	51
284	921	48
285	924	45
286	927	42
287	930	38
288	933	35
289	936	32
290	939	29
291	942	25
292	945	22
293	948	19
294	951	16
295	954	12
296	957	9
297	960	6
298	963	3
299	966	0
