iter	RMSE
0	2.136113916
1	2.119060931
2	2.097055973
3	2.08208045
4	2.062605961
5	2.050348964
6	2.033316622
7	2.021734602
8	2.008861115
9	1.992418229
10	1.977152352
11	1.96559232
12	1.953729726
13	1.943483939
14	1.930403357
15	1.917260376
16	1.905421773
17	1.895769113
18	1.885877526
19	1.877653846
20	1.869231332
21	1.861026205
22	1.854138394
23	1.844800875
24	1.835976563
25	1.829925033
26	1.821758689
27	1.814751272
28	1.808129592
29	1.796966788
30	1.791290473
31	1.784443861
32	1.779675354
33	1.773274332
34	1.767132595
35	1.761545013
36	1.753416815
37	1.747507656
38	1.74272477
39	1.738326823
40	1.732213718
41	1.727053329
42	1.721217893
43	1.715950032
44	1.71174919
45	1.707089974
46	1.702094458
47	1.696530314
48	1.692600633
49	1.690147864
50	1.68505218
51	1.681840083
52	1.678001523
53	1.673433821
54	1.668134717
55	1.663639991
56	1.659311623
57	1.657072077
58	1.653582944
59	1.650143228
60	1.645743436
61	1.642424888
62	1.639278405
63	1.636472846
64	1.632872324
65	1.629296665
66	1.625900199
67	1.622413169
68	1.618342812
69	1.615974672
70	1.612976456
71	1.610219085
72	1.609048507
73	1.605763158
74	1.602351025
75	1.600204989
76	1.597489659
77	1.594329326
78	1.590485713
79	1.586607925
80	1.584165267
81	1.58124164
82	1.577519459
83	1.574942552
84	1.572955614
85	1.569286346
86	1.567260297
87	1.565036589
88	1.562645938
89	1.561146653
90	1.557575786
91	1.554240048
92	1.551567795
93	1.548275096
94	1.545862224
95	1.543313279
96	1.541839053
97	1.539263371
98	1.536920094
99	1.534814315
100	1.532136984
101	1.529414794
102	1.527351055
103	1.525408033
104	1.523267434
105	1.521496065
106	1.519379349
107	1.517818463
108	1.514780533
109	1.513075802
110	1.511183899
111	1.508750925
112	1.507309733
113	1.504698054
114	1.501704068
115	1.498137201
116	1.496363266
117	1.494289313
118	1.491864928
119	1.488738819
120	1.486944353
121	1.485278396
122	1.482770213
123	1.48087213
124	1.479726932
125	1.476988911
126	1.475238304
127	1.473096307
128	1.470677903
129	1.467845944
130	1.465503988
131	1.463033871
132	1.460629444
133	1.459068065
134	1.455165166
135	1.452976584
136	1.451277425
137	1.449700648
138	1.448145756
139	1.445397997
140	1.442805372
141	1.441017829
142	1.43894424
143	1.435323187
144	1.433129108
145	1.431025954
146	1.42898799
147	1.426747801
148	1.424308357
149	1.421485768
150	1.419820321
151	1.417466933
152	1.415430171
153	1.412790865
154	1.411346484
155	1.407942103
156	1.404369647
157	1.402320728
158	1.400543831
159	1.39867227
160	1.39735203
161	1.393214447
162	1.391226397
163	1.388465045
164	1.385437431
165	1.382425799
166	1.380528455
167	1.377517733
168	1.375169164
169	1.373094764
170	1.36911701
171	1.367138251
172	1.364670577
173	1.363672967
174	1.361884605
175	1.360619572
176	1.358870825
177	1.357559325
178	1.354081928
179	1.351728655
180	1.349468258
181	1.347965479
182	1.345781256
183	1.344269382
184	1.343070082
185	1.341324723
186	1.339955995
187	1.338461098
188	1.336579215
189	1.334458209
190	1.332754419
191	1.33136357
192	1.326624592
193	1.323656443
194	1.321542282
195	1.319650775
196	1.31718356
197	1.315394181
198	1.313215237
199	1.311668697
200	1.310079671
201	1.307760791
202	1.305469214
203	1.30325601
204	1.301591357
205	1.299983133
206	1.298400453
207	1.297608624
208	1.295222521
209	1.293461048
210	1.291154178
211	1.288884036
212	1.286649035
213	1.284892628
214	1.28418143
215	1.283374937
216	1.28162425
217	1.280033428
218	1.279159809
219	1.278233377
220	1.276066166
221	1.275281073
222	1.274232963
223	1.271726446
224	1.270366373
225	1.267557145
226	1.265563437
227	1.263697983
228	1.261713527
229	1.259684149
230	1.258847516
231	1.256813587
232	1.256482865
233	1.255144788
234	1.253088981
235	1.251244448
236	1.249474805
237	1.247990777
238	1.245662113
239	1.243730489
240	1.242589361
241	1.240591372
242	1.238993782
243	1.236657639
244	1.236170623
245	1.233799712
246	1.232171589
247	1.230307549
248	1.228637198
249	1.227199428
250	1.225366863
251	1.224303394
252	1.223725128
253	1.221672399
254	1.221305015
255	1.219926795
256	1.217904959
257	1.216202726
258	1.214561285
259	1.212454435
260	1.212088092
261	1.211177912
262	1.210496494
263	1.20873357
264	1.207438419
265	1.205754881
266	1.205483362
267	1.204214167
268	1.204012204
269	1.202138809
270	1.199988042
271	1.198185806
272	1.196417354
273	1.196123544
274	1.194530063
275	1.193885341
276	1.192073702
277	1.190566714
278	1.188569005
279	1.187844539
280	1.186016736
281	1.183391485
282	1.182796496
283	1.181172252
284	1.179766618
285	1.178365756
286	1.176520974
287	1.17447892
288	1.173164069
289	1.170961463
290	1.168820593
291	1.16733856
292	1.165656769
293	1.164109096
294	1.162433748
295	1.160288058
296	1.158899123
297	1.157574193
298	1.156001083
299	1.154868451
