iter	Passed	Remaining
0	48	14485
1	50	7492
2	52	5159
3	53	3988
4	55	3283
5	57	2815
6	59	2477
7	60	2223
8	62	2026
9	64	1868
10	66	1739
11	67	1629
12	69	1537
13	71	1459
14	73	1390
15	74	1329
16	76	1276
17	78	1228
18	80	1185
19	81	1146
20	83	1111
21	85	1079
22	87	1049
23	88	1022
24	90	997
25	92	974
26	94	955
27	96	934
28	97	915
29	99	897
30	101	880
31	103	864
32	104	849
33	106	835
34	108	821
35	110	808
36	112	796
37	113	784
38	115	773
39	117	763
40	119	753
41	120	743
42	122	734
43	124	725
44	126	716
45	128	707
46	129	699
47	131	691
48	133	683
49	135	675
50	136	668
51	138	661
52	140	654
53	142	648
54	144	641
55	145	635
56	147	630
57	149	623
58	151	618
59	153	612
60	155	607
61	156	601
62	158	596
63	160	591
64	162	586
65	163	581
66	165	576
67	167	572
68	169	567
69	171	562
70	173	558
71	174	553
72	176	549
73	178	544
74	180	540
75	181	536
76	183	532
77	185	527
78	187	523
79	188	519
80	190	515
81	192	511
82	194	507
83	195	503
84	197	500
85	199	496
86	201	492
87	203	489
88	204	485
89	206	481
90	208	478
91	210	475
92	211	471
93	213	468
94	215	465
95	217	461
96	219	458
97	220	455
98	222	452
99	224	449
100	226	446
101	228	443
102	230	440
103	231	436
104	233	433
105	235	430
106	237	427
107	238	424
108	240	421
109	242	418
110	244	415
111	245	412
112	247	409
113	249	407
114	251	404
115	252	401
116	254	398
117	256	395
118	258	392
119	259	389
120	261	387
121	263	384
122	265	381
123	267	379
124	268	376
125	270	373
126	272	371
127	274	368
128	276	365
129	277	363
130	279	360
131	281	358
132	283	355
133	284	353
134	286	350
135	288	347
136	290	345
137	291	342
138	293	340
139	295	337
140	297	335
141	299	332
142	301	330
143	302	328
144	304	325
145	306	323
146	308	320
147	309	318
148	311	315
149	313	313
150	315	311
151	317	308
152	318	306
153	320	303
154	322	301
155	324	299
156	325	296
157	327	294
158	329	292
159	331	289
160	332	287
161	334	284
162	336	282
163	337	280
164	339	277
165	341	275
166	343	273
167	344	270
168	346	268
169	348	266
170	350	264
171	351	261
172	353	259
173	355	257
174	357	255
175	358	252
176	360	250
177	362	248
178	364	246
179	365	243
180	367	241
181	369	239
182	370	237
183	372	234
184	374	232
185	376	230
186	377	228
187	379	226
188	381	223
189	383	221
190	384	219
191	386	217
192	388	215
193	389	213
194	391	210
195	393	208
196	395	206
197	397	204
198	398	202
199	400	200
200	402	198
201	404	196
202	405	193
203	407	191
204	409	189
205	411	187
206	413	185
207	414	183
208	416	181
209	418	179
210	420	177
211	421	175
212	423	173
213	425	170
214	427	168
215	428	166
216	430	164
217	432	162
218	434	160
219	435	158
220	437	156
221	439	154
222	441	152
223	443	150
224	444	148
225	446	146
226	448	144
227	450	142
228	451	140
229	453	138
230	455	136
231	457	134
232	459	132
233	460	129
234	462	127
235	464	125
236	466	123
237	467	121
238	469	119
239	471	117
240	473	115
241	474	113
242	476	111
243	478	109
244	480	107
245	481	105
246	483	103
247	485	101
248	487	99
249	489	97
250	490	95
251	492	93
252	494	91
253	496	89
254	497	87
255	499	85
256	501	83
257	503	81
258	504	79
259	506	77
260	508	75
261	510	73
262	511	71
263	513	70
264	515	68
265	517	66
266	518	64
267	520	62
268	522	60
269	523	58
270	525	56
271	527	54
272	529	52
273	530	50
274	532	48
275	534	46
276	535	44
277	537	42
278	539	40
279	541	38
280	542	36
281	544	34
282	546	32
283	548	30
284	549	28
285	551	27
286	553	25
287	555	23
288	557	21
289	558	19
290	560	17
291	562	15
292	564	13
293	566	11
294	568	9
295	569	7
296	571	5
297	573	3
298	575	1
299	576	0
