iter	Passed	Remaining
0	1	194
1	3	167
2	4	160
3	6	158
4	8	155
5	9	152
6	11	150
7	12	146
8	14	144
9	15	142
10	17	139
11	18	137
12	20	134
13	22	139
14	24	136
15	25	133
16	26	131
17	28	129
18	29	126
19	31	124
20	32	122
21	34	120
22	35	118
23	36	116
24	38	114
25	39	112
26	41	111
27	42	109
28	43	107
29	45	105
30	46	104
31	48	102
32	49	101
33	51	99
34	52	98
35	54	96
36	55	94
37	56	92
38	58	91
39	59	89
40	61	88
41	62	86
42	64	85
43	65	83
44	67	82
45	69	81
46	70	79
47	72	78
48	73	76
49	75	75
50	77	74
51	80	74
52	82	72
53	83	71
54	85	69
55	86	67
56	87	66
57	89	64
58	91	63
59	92	61
60	93	60
61	95	58
62	96	56
63	98	55
64	99	53
65	101	52
66	102	50
67	103	48
68	105	47
69	106	45
70	108	44
71	109	42
72	111	41
73	112	39
74	113	37
75	115	36
76	116	34
77	118	33
78	119	31
79	120	30
80	122	28
81	123	27
82	125	25
83	126	24
84	128	22
85	129	21
86	130	19
87	132	18
88	133	16
89	135	15
90	136	13
91	138	12
92	139	10
93	141	9
94	142	7
95	143	5
96	145	4
97	146	2
98	148	1
99	149	0
