iter	RMSE
0	1.722197622
1	1.711371122
2	1.698639582
3	1.687133895
4	1.676487739
5	1.667803967
6	1.660457482
7	1.651837707
8	1.642724998
9	1.636925507
10	1.629084408
11	1.622123347
12	1.616474536
13	1.610423768
14	1.604425692
15	1.60123575
16	1.596362491
17	1.592488073
18	1.585679535
19	1.581276198
20	1.577734173
21	1.575289763
22	1.571172615
23	1.565356364
24	1.562085543
25	1.559413652
26	1.555131809
27	1.551896061
28	1.546678689
29	1.542963694
30	1.537229663
31	1.534017178
32	1.531211154
33	1.527805022
34	1.525117449
35	1.520260665
36	1.518310926
37	1.514524549
38	1.508092661
39	1.506025642
40	1.502051901
41	1.500365806
42	1.498085292
43	1.494539712
44	1.492459137
45	1.489219492
46	1.486276734
47	1.484311669
48	1.482469215
49	1.481126057
50	1.47714905
51	1.476446194
52	1.474245409
53	1.468959466
54	1.468522261
55	1.46761309
56	1.465328672
57	1.462791869
58	1.462181325
59	1.456524062
60	1.450100815
61	1.448461817
62	1.44481863
63	1.443775111
64	1.442369343
65	1.441017429
66	1.435037534
67	1.433546372
68	1.428328939
69	1.424187261
70	1.419575341
71	1.417226439
72	1.414224567
73	1.411368588
74	1.406661913
75	1.402822357
76	1.400283176
77	1.396946805
78	1.393547428
79	1.392136896
80	1.387204906
81	1.385789162
82	1.383230146
83	1.378129067
84	1.376034567
85	1.374683097
86	1.372587415
87	1.370053747
88	1.369089458
89	1.365842424
90	1.364990425
91	1.358666505
92	1.357265188
93	1.354369129
94	1.353015368
95	1.348880964
96	1.344457235
97	1.336989092
98	1.33332968
99	1.332094108
