iter	Passed	Remaining
0	47	4731
1	48	2382
2	49	1594
3	50	1200
4	50	962
5	51	804
6	52	690
7	52	605
8	53	541
9	54	489
10	55	445
11	55	408
12	56	377
13	57	350
14	57	327
15	58	306
16	59	288
17	59	272
18	60	257
19	61	244
20	61	232
21	62	221
22	63	211
23	63	201
24	64	193
25	65	185
26	65	177
27	66	170
28	67	164
29	67	158
30	68	152
31	69	146
32	69	141
33	70	136
34	70	131
35	71	127
36	72	123
37	72	119
38	73	115
39	74	111
40	75	107
41	75	104
42	76	101
43	76	97
44	77	94
45	78	91
46	78	89
47	79	86
48	80	83
49	81	81
50	81	78
51	82	75
52	82	73
53	83	71
54	83	68
55	84	66
56	85	64
57	85	62
58	86	60
59	87	58
60	88	56
61	88	54
62	89	52
63	90	50
64	90	48
65	91	47
66	92	45
67	92	43
68	93	42
69	94	40
70	94	38
71	95	37
72	96	35
73	97	34
74	97	32
75	98	31
76	99	29
77	99	28
78	100	26
79	101	25
80	101	23
81	102	22
82	103	21
83	103	19
84	104	18
85	105	17
86	105	15
87	106	14
88	107	13
89	107	11
90	108	10
91	109	9
92	109	8
93	110	7
94	111	5
95	111	4
96	112	3
97	113	2
98	113	1
99	114	0
