iter	Passed	Remaining
0	47	14305
1	48	7256
2	49	4907
3	50	3732
4	51	3026
5	52	2553
6	52	2214
7	53	1961
8	54	1765
9	55	1606
10	56	1478
11	57	1370
12	57	1279
13	58	1201
14	59	1133
15	60	1074
16	61	1021
17	62	974
18	63	931
19	63	894
20	64	859
21	65	828
22	66	799
23	67	773
24	68	749
25	68	726
26	69	705
27	70	685
28	71	667
29	72	650
30	73	633
31	73	618
32	74	604
33	75	591
34	76	578
35	77	566
36	78	555
37	78	544
38	79	533
39	80	523
40	81	514
41	82	505
42	83	496
43	83	488
44	84	480
45	85	472
46	86	465
47	87	457
48	88	451
49	88	444
50	89	437
51	90	431
52	91	425
53	92	419
54	92	414
55	93	408
56	94	403
57	95	398
58	96	393
59	97	388
60	98	384
61	98	379
62	99	374
63	100	370
64	101	366
65	102	362
66	103	358
67	104	355
68	104	351
69	105	347
70	106	344
71	107	340
72	108	336
73	109	333
74	110	330
75	110	326
76	111	323
77	112	320
78	113	317
79	114	314
80	115	311
81	115	308
82	116	305
83	117	302
84	118	299
85	119	296
86	120	294
87	120	291
88	121	288
89	122	285
90	123	283
91	124	280
92	124	278
93	125	275
94	126	273
95	127	270
96	128	268
97	129	266
98	130	264
99	130	261
100	131	259
101	132	257
102	133	255
103	134	253
104	135	251
105	136	248
106	136	246
107	137	244
108	138	242
109	139	240
110	140	238
111	140	236
112	141	234
113	142	232
114	143	230
115	144	228
116	145	226
117	145	225
118	146	223
119	147	221
120	148	219
121	149	217
122	150	215
123	150	214
124	151	212
125	152	210
126	153	208
127	154	207
128	154	205
129	155	203
130	156	201
131	157	200
132	158	198
133	159	197
134	159	195
135	160	193
136	161	192
137	162	190
138	163	189
139	164	187
140	165	186
141	166	184
142	166	183
143	167	181
144	168	180
145	169	178
146	170	177
147	170	175
148	171	174
149	172	172
150	173	171
151	174	169
152	174	168
153	175	166
154	176	165
155	177	163
156	178	162
157	178	160
158	179	159
159	180	158
160	181	156
161	182	155
162	183	153
163	183	152
164	184	151
165	185	149
166	186	148
167	187	147
168	188	145
169	188	144
170	189	143
171	190	141
172	191	140
173	192	139
174	192	137
175	193	136
176	194	135
177	195	133
178	196	132
179	196	131
180	197	129
181	198	128
182	199	127
183	200	126
184	201	124
185	201	123
186	202	122
187	203	121
188	204	120
189	205	118
190	206	117
191	206	116
192	207	115
193	208	113
194	209	112
195	210	111
196	211	110
197	211	109
198	212	108
199	213	106
200	214	105
201	215	104
202	216	103
203	216	102
204	217	100
205	218	99
206	220	98
207	220	97
208	221	96
209	222	95
210	223	94
211	224	93
212	225	91
213	226	90
214	226	89
215	227	88
216	228	87
217	229	86
218	230	85
219	231	84
220	232	82
221	232	81
222	233	80
223	234	79
224	235	78
225	236	77
226	237	76
227	237	75
228	238	74
229	239	72
230	240	71
231	241	70
232	242	69
233	243	68
234	243	67
235	244	66
236	245	65
237	246	64
238	247	63
239	248	62
240	249	60
241	249	59
242	250	58
243	251	57
244	252	56
245	253	55
246	254	54
247	255	53
248	255	52
249	256	51
250	257	50
251	258	49
252	259	48
253	260	47
254	261	46
255	261	45
256	262	43
257	263	42
258	264	41
259	265	40
260	266	39
261	267	38
262	267	37
263	268	36
264	269	35
265	270	34
266	271	33
267	271	32
268	272	31
269	273	30
270	274	29
271	275	28
272	276	27
273	277	26
274	278	25
275	279	24
276	279	23
277	280	22
278	281	21
279	282	20
280	283	19
281	284	18
282	285	17
283	285	16
284	286	15
285	287	14
286	288	13
287	289	12
288	290	11
289	291	10
290	291	9
291	292	8
292	293	7
293	294	6
294	295	5
295	296	4
296	297	3
297	297	1
298	298	0
299	299	0
