iter	RMSE
0	1.729410825
1	1.721920354
2	1.714972819
3	1.7070662
4	1.700615312
5	1.694509219
6	1.688891083
7	1.681120549
8	1.676439396
9	1.669247497
10	1.665209393
11	1.660471474
12	1.655334331
13	1.649087879
14	1.644407955
15	1.639621824
16	1.635471752
17	1.632619922
18	1.630018284
19	1.626624593
20	1.623175828
21	1.619424469
22	1.616928239
23	1.612467148
24	1.608658267
25	1.604088251
26	1.598694406
27	1.596401323
28	1.5920889
29	1.588906001
30	1.584345728
31	1.580179969
32	1.576551534
33	1.574382516
34	1.571170637
35	1.567428775
36	1.564438974
37	1.563415407
38	1.560691709
39	1.558571097
40	1.556626012
41	1.553082075
42	1.549889287
43	1.549342496
44	1.54630728
45	1.544463083
46	1.541102348
47	1.539096967
48	1.535754559
49	1.53217139
50	1.530601186
51	1.528692152
52	1.525924441
53	1.524641969
54	1.521765327
55	1.517909743
56	1.514541182
57	1.513448742
58	1.508830764
59	1.504833752
60	1.502174568
61	1.499553633
62	1.497615322
63	1.495086597
64	1.492324295
65	1.489559119
66	1.486943546
67	1.484809342
68	1.483350134
69	1.481248562
70	1.479897712
71	1.477726066
72	1.476596195
73	1.475160012
74	1.473083945
75	1.471451053
76	1.469347237
77	1.46814155
78	1.465508451
79	1.46378768
80	1.46042143
81	1.457989867
82	1.454795576
83	1.451638
84	1.450699578
85	1.449855631
86	1.446967611
87	1.445509223
88	1.442468123
89	1.440619648
90	1.439557778
91	1.437605902
92	1.435982615
93	1.435130222
94	1.432526933
95	1.430458711
96	1.428969904
97	1.427898312
98	1.425776829
99	1.424908071
100	1.422438028
101	1.420391478
102	1.418645411
103	1.415307859
104	1.413533691
105	1.41154656
106	1.409887152
107	1.408889878
108	1.406751688
109	1.404054332
110	1.402605544
111	1.401202902
112	1.399291364
113	1.398702767
114	1.396973892
115	1.395563021
116	1.393626574
117	1.391039025
118	1.389158714
119	1.388088693
120	1.387100453
121	1.386520855
122	1.384244841
123	1.382036596
124	1.379287648
125	1.378564476
126	1.37586643
127	1.375018178
128	1.372377879
129	1.37186141
130	1.369072828
131	1.366122422
132	1.364149731
133	1.362033061
134	1.359779836
135	1.359004918
136	1.355525766
137	1.353859548
138	1.351233062
139	1.348903057
140	1.348410426
141	1.346445623
142	1.344025593
143	1.341368302
144	1.339188141
145	1.338490595
146	1.335425173
147	1.332059326
148	1.330071806
149	1.327163508
150	1.325162332
151	1.322725203
152	1.320227242
153	1.31955891
154	1.317307176
155	1.313937136
156	1.31165107
157	1.309432422
158	1.308670904
159	1.308053841
160	1.307138948
161	1.305775445
162	1.30370188
163	1.300586367
164	1.29788916
165	1.295919192
166	1.293634683
167	1.291157841
168	1.289565231
169	1.288985834
170	1.28798169
171	1.286239591
172	1.284141223
173	1.282047889
174	1.279953214
175	1.279532961
176	1.279118158
177	1.277237092
178	1.276677035
179	1.274453341
180	1.274060175
181	1.273673226
182	1.271210571
183	1.270855057
184	1.268048147
185	1.264971741
186	1.262796331
187	1.261543453
188	1.261087792
189	1.259191956
190	1.2572629
191	1.255172664
192	1.253746327
193	1.252318794
194	1.250511195
195	1.248526915
196	1.246240917
197	1.245892684
198	1.24393829
199	1.242448895
200	1.240845098
201	1.238287256
202	1.235239506
203	1.233571918
204	1.231592433
205	1.230483274
206	1.226982682
207	1.225868996
208	1.223236098
209	1.221399053
210	1.219648905
211	1.219376016
212	1.218185709
213	1.215854666
214	1.214189146
215	1.212415839
216	1.211579187
217	1.210712087
218	1.207484283
219	1.205935207
220	1.204702538
221	1.201847163
222	1.200192776
223	1.198833185
224	1.198026623
225	1.195258939
226	1.194350522
227	1.191819869
228	1.190072414
229	1.188236777
230	1.187459886
231	1.186319951
232	1.184874128
233	1.183223399
234	1.183127947
235	1.181809035
236	1.180460007
237	1.178905038
238	1.177823964
239	1.175866173
240	1.174465256
241	1.174342817
242	1.172878802
243	1.172645615
244	1.169947585
245	1.168078958
246	1.167767412
247	1.165731926
248	1.164717768
249	1.164532744
250	1.16354131
251	1.160723937
252	1.158776038
253	1.157561695
254	1.156053055
255	1.154009156
256	1.152658495
257	1.151202763
258	1.149438987
259	1.146981565
260	1.146002433
261	1.144458588
262	1.143776539
263	1.141334815
264	1.141060905
265	1.139128146
266	1.137782948
267	1.136282766
268	1.134021537
269	1.133355062
270	1.131866401
271	1.131618197
272	1.129089962
273	1.126448212
274	1.126185531
275	1.12456109
276	1.124394885
277	1.124188989
278	1.122181142
279	1.121980931
280	1.121732986
281	1.119672566
282	1.117744579
283	1.115736545
284	1.115361607
285	1.113151439
286	1.11133048
287	1.109834896
288	1.108283648
289	1.106911564
290	1.10539824
291	1.104323643
292	1.10312138
293	1.100681133
294	1.099630537
295	1.099527161
296	1.098854787
297	1.098006859
298	1.096168174
299	1.095347429
