iter	Passed	Remaining
0	48	14643
1	50	7516
2	51	5131
3	53	3935
4	54	3218
5	55	2740
6	57	2398
7	58	2141
8	60	1945
9	61	1787
10	63	1663
11	64	1555
12	66	1464
13	67	1386
14	69	1316
15	70	1255
16	72	1202
17	73	1152
18	75	1109
19	76	1070
20	77	1034
21	79	1002
22	80	973
23	82	945
24	83	920
25	85	896
26	86	874
27	88	855
28	89	835
29	90	817
30	92	800
31	93	784
32	95	769
33	96	754
34	97	740
35	99	727
36	100	714
37	101	702
38	103	690
39	104	679
40	106	669
41	107	660
42	108	651
43	110	642
44	111	634
45	113	625
46	114	617
47	116	609
48	117	603
49	119	595
50	120	588
51	122	582
52	123	575
53	125	569
54	126	563
55	127	557
56	129	551
57	130	545
58	132	539
59	133	533
60	134	527
61	136	522
62	137	518
63	139	513
64	140	508
65	141	503
66	143	498
67	144	494
68	146	489
69	147	485
70	149	481
71	150	477
72	152	472
73	153	468
74	154	464
75	156	460
76	157	456
77	159	452
78	160	449
79	161	445
80	163	441
81	164	437
82	166	434
83	167	430
84	169	427
85	170	424
86	171	420
87	173	417
88	174	414
89	176	410
90	177	407
91	179	404
92	180	401
93	181	398
94	183	395
95	184	392
96	186	389
97	187	386
98	188	383
99	190	380
100	191	377
101	193	374
102	194	371
103	195	369
104	197	366
105	198	363
106	200	360
107	201	358
108	202	355
109	204	352
110	205	350
111	207	347
112	208	345
113	209	342
114	211	339
115	212	337
116	214	334
117	215	332
118	217	330
119	218	327
120	219	325
121	221	322
122	222	320
123	224	318
124	225	316
125	227	313
126	228	311
127	229	308
128	231	306
129	232	304
130	234	302
131	235	299
132	237	297
133	238	295
134	240	293
135	241	291
136	243	289
137	244	287
138	246	284
139	247	283
140	248	280
141	250	278
142	252	276
143	253	274
144	254	272
145	256	270
146	257	268
147	259	266
148	260	263
149	261	261
150	263	260
151	264	257
152	266	255
153	267	253
154	268	251
155	270	249
156	271	247
157	273	245
158	274	243
159	275	241
160	277	239
161	278	237
162	280	235
163	281	233
164	283	231
165	284	229
166	285	227
167	287	225
168	288	223
169	290	222
170	292	220
171	294	219
172	296	217
173	297	215
174	299	213
175	300	211
176	302	209
177	303	207
178	304	206
179	306	204
180	307	202
181	308	200
182	310	198
183	311	196
184	313	194
185	314	192
186	316	191
187	317	189
188	319	187
189	320	185
190	321	183
191	323	181
192	324	179
193	325	178
194	327	176
195	328	174
196	330	172
197	331	170
198	332	168
199	334	167
200	335	165
201	337	163
202	338	161
203	339	159
204	341	158
205	342	156
206	343	154
207	345	152
208	346	150
209	348	149
210	349	147
211	351	145
212	353	144
213	354	142
214	356	140
215	357	139
216	358	137
217	360	135
218	361	133
219	363	132
220	364	130
221	366	128
222	367	126
223	368	125
224	370	123
225	371	121
226	373	120
227	374	118
228	376	116
229	377	114
230	378	113
231	380	111
232	381	109
233	383	108
234	384	106
235	385	104
236	387	102
237	388	101
238	390	99
239	391	97
240	393	96
241	395	94
242	397	93
243	398	91
244	400	89
245	401	88
246	403	86
247	404	84
248	405	83
249	407	81
250	409	79
251	410	78
252	411	76
253	413	74
254	415	73
255	416	71
256	417	69
257	419	68
258	420	66
259	422	65
260	424	63
261	427	61
262	431	60
263	435	59
264	440	58
265	442	56
266	445	55
267	447	53
268	449	51
269	451	50
270	453	48
271	456	47
272	460	45
273	462	43
274	463	42
275	465	40
276	467	38
277	469	37
278	471	35
279	473	33
280	475	32
281	480	30
282	484	29
283	487	27
284	490	25
285	492	24
286	494	22
287	495	20
288	497	18
289	500	17
290	501	15
291	505	13
292	507	12
293	508	10
294	510	8
295	512	6
296	514	5
297	516	3
298	517	1
299	519	0
