hash,diemqt
9f605b4802c811805adc38ae19035ded09a5e4b5,8.9
2cd5132c3c49bd9d4d5081e386a4d69a593f850a,6.28
58f61331a385caeed17baaf54abea308426d50fe,9.12
1abf62f1e76bc5ac164061cff2a8171d6b6de657,7.57
33b16210a7736a6f75ef1b1f3cb7070a4d29395e,9.12
45e8b53fe4fc590dd9c7564fe2c6fa3ede58fbea,9.06
2e22e4cd67d6f2e9f70782c69e67f4d15bee7d1d,9.4
05203b8a827f60a7cbb49a7d04a0b45dae39fa8d,9.47
70586c4437f01c7ae612aa151f53958ac10a412e,8.19
3b3559f14b77090ee6063be193efe80b19bcc591,8.84
56b3554a4a43514e497a667b0efee344df2ed21c,8.02
87ce4212940578f8ab9aaab4616b104ab515d4e9,9.24
388c0aed9f437cb576f998892257a1a9410d1a2e,9.09
1a651a0e1038b173950ab2be4fb4b3016d617aa6,8.65
f9e06c04dc036b01f65e7f71a9201922f201dade,8.96
3886b365ce33e5988c6c8a73eed09ac8a7c784bf,9.5
72ea15c6a9c0f4f176da99e9dfd445b347c2e219,7.53
6881032aa20fa792984ffb15d6b043b4228c1070,7.74
2fdf9d089409fcb9c3728b0a61bb0a00fcc85db8,8.68
f97b1dbd007f20fea2e262e62433e01ae91da602,8.22
c20545cf079fcd100052faf6db21ee865023525f,9.13
baae1f7bd8567b6f9e220cc863c92124fa71e1fe,8.17
df8fb59599b421d91967aa7d053fa72e91e4f6fb,7.99
09cbe188b9d1e965edf6c1c46a96b9306ec2f329,9.12
64bb0d71f782349bd0bce3ba44cf9b454bd46cfd,9.44
8460eaaf887a6289fb156f7562fb739ba8e9629e,9.72
c9c6d1fdb1bc64d7137f0fb7050e334cbb7c0f6e,9.03
12607a7c2283944afc08e1ce4df79ba688a31f74,8.81
d3de05492e2353a5f3a80b5ea37a6de4651923fe,9.28
c047e3345530b4b4634715536ac54cec9c756b66,9.58
766fb145487f13f1cbb3fae79c2345c8786c1542,9.17
a75958bf7ddea02d2c0d5a300c83abfe240f3552,7.45
85838695003ef753ce13327655b84defa54d6eae,7.98
19787a8ba9b724902ceb45f483190f766e9e291c,7.28
f9f4d4ef2a3de006bd037db9eb160ab8e51c79f2,9.26
f947938c0e7c1345a488d9f17a74331ca6f478dc,9.1
9038ddd6c0d498cb8c65b4510e99e8527eabd40c,7.96
7f8b72d92d190113dbc807befe9e8033ecdda75f,9.45
5f8dfe6855d546a89ee51fdc47f1e3a135f1edf8,7.73
92cea32d04d98c66af1c1366fe9811047a9b1cea,9.71
f3a603f5ad05ee8b8374af6523467f1ee058959e,9.16
dfdeea1cf0b4fb6c906a25d99aa5756efe14c996,9.13
a5b034cb2c29d312a2e5475da6174e196cfc3c1b,9.43
b6535907c852434b9243df7a0e65f04d688d049f,7.19
