iter	RMSE
0	1.7232877
1	1.711057662
2	1.694221798
3	1.677060831
4	1.661617935
5	1.649181912
6	1.637607213
7	1.624660515
8	1.616974644
9	1.608537766
10	1.597675168
11	1.585782886
12	1.575924361
13	1.565176064
14	1.556125166
15	1.545021385
16	1.53579135
17	1.52760302
18	1.517874988
19	1.511933666
20	1.507352261
21	1.501695678
22	1.498013832
23	1.491887295
24	1.485879996
25	1.480117529
26	1.473177268
27	1.465510212
28	1.456129537
29	1.451425551
30	1.445411181
31	1.441259894
32	1.437055149
33	1.4299941
34	1.424006521
35	1.418555237
36	1.414909904
37	1.409533672
38	1.402552356
39	1.394989654
40	1.388416643
41	1.38253123
42	1.376066067
43	1.372756726
44	1.366675737
45	1.361884086
46	1.357427192
47	1.353551217
48	1.349573297
49	1.345772958
50	1.341631248
51	1.337023973
52	1.333070156
53	1.328641734
54	1.323225907
55	1.319262039
56	1.31461334
57	1.310609427
58	1.306359277
59	1.303076236
60	1.299707803
61	1.294787909
62	1.289076966
63	1.28491369
64	1.281013396
65	1.277448517
66	1.274543188
67	1.268874415
68	1.264898545
69	1.26028672
70	1.253924162
71	1.251399984
72	1.248353672
73	1.244735118
74	1.241553029
75	1.237978361
76	1.234282608
77	1.231300033
78	1.228600904
79	1.225384454
80	1.221983158
81	1.218965371
82	1.216075446
83	1.212596037
84	1.207907527
85	1.205592458
86	1.203632292
87	1.200191
88	1.194891584
89	1.193047282
90	1.190268916
91	1.188191071
92	1.186010601
93	1.18274874
94	1.179956753
95	1.176567361
96	1.173041788
97	1.170235295
98	1.167243377
99	1.163406996
100	1.161115467
101	1.158435749
102	1.154870662
103	1.151545293
104	1.147676374
105	1.144307416
106	1.141348675
107	1.139282556
108	1.13665558
109	1.133575268
110	1.13125458
111	1.128111495
112	1.125880045
113	1.12374398
114	1.11993315
115	1.116610053
116	1.114015196
117	1.111509622
118	1.108447399
119	1.105563801
120	1.103430787
121	1.101076437
122	1.098143663
123	1.095840448
124	1.093913666
125	1.092464778
126	1.090228922
127	1.088708373
128	1.086630241
129	1.084353462
130	1.082810759
131	1.080292009
132	1.078105383
133	1.07252692
134	1.069620044
135	1.067627335
136	1.064749803
137	1.062545801
138	1.060091181
139	1.056930588
140	1.053675608
141	1.051004306
142	1.048236657
143	1.044788742
144	1.042730734
145	1.039116762
146	1.035120324
147	1.033049729
148	1.030613173
149	1.027805247
150	1.024830178
151	1.022831847
152	1.019038077
153	1.016379376
154	1.013893314
155	1.01167328
156	1.008988573
157	1.005933094
158	1.004407955
159	1.000482133
160	0.9964975098
161	0.9945282446
162	0.9917664683
163	0.9895408728
164	0.9859865716
165	0.984672881
166	0.9827408079
167	0.9791127417
168	0.9767068223
169	0.9751750255
170	0.9736244714
171	0.971654847
172	0.9694695161
173	0.9675841332
174	0.9659896924
175	0.9642713258
176	0.9626380202
177	0.9600037783
178	0.958028486
179	0.9559397684
180	0.9533342086
181	0.9508292276
182	0.9476105935
183	0.9454371178
184	0.9430213344
185	0.941518652
186	0.9396959688
187	0.9377503338
188	0.9350058597
189	0.9332596941
190	0.9311267392
191	0.928737781
192	0.9271207549
193	0.9247018731
194	0.9233240874
195	0.9206181933
196	0.9188474539
197	0.9166500744
198	0.9146441392
199	0.9129022421
200	0.911477016
201	0.9089024443
202	0.906785409
203	0.9055189542
204	0.9040610559
205	0.9015584172
206	0.9004197085
207	0.8988352629
208	0.8960221181
209	0.8941884421
210	0.8922986475
211	0.8908990309
212	0.8883820356
213	0.8859165319
214	0.8836717919
215	0.8818354642
216	0.8795520936
217	0.878577377
218	0.8770643642
219	0.87520607
220	0.8725033047
221	0.8711880784
222	0.8687491189
223	0.8661790147
224	0.8644280748
225	0.8634229021
226	0.8613566079
227	0.8594279498
228	0.8578078625
229	0.8565555413
230	0.8553888317
231	0.8539953352
232	0.8507501952
233	0.8483914336
234	0.84698927
235	0.8453883403
236	0.8443779999
237	0.8415362611
238	0.8399092025
239	0.8384559696
240	0.836806222
241	0.8349562802
242	0.8335519558
243	0.8309623435
244	0.8297746876
245	0.8287189023
246	0.8274802786
247	0.8265699321
248	0.825198442
249	0.8242503288
250	0.8227740186
251	0.8215389565
252	0.8189601812
253	0.8182129144
254	0.8159169624
255	0.8143082624
256	0.8114215017
257	0.8101232512
258	0.809157436
259	0.8076363355
260	0.8058642942
261	0.8041390031
262	0.8034924327
263	0.801431776
264	0.7994639734
265	0.798673828
266	0.796844838
267	0.7949565885
268	0.7943046375
269	0.7923092464
270	0.7897400652
271	0.7886959564
272	0.7878506874
273	0.78628605
274	0.7853208618
275	0.7834415122
276	0.7822941021
277	0.7811898996
278	0.7792480858
279	0.7781982445
280	0.7758716828
281	0.7742333051
282	0.7732916861
283	0.7717475214
284	0.7702724595
285	0.7684529185
286	0.767594107
287	0.7664578167
288	0.7651352787
289	0.7645958587
290	0.7633346355
291	0.7627213832
292	0.7612943577
293	0.7600873332
294	0.7582222982
295	0.7572029833
296	0.7550205673
297	0.7527347624
298	0.7522368803
299	0.7512639091
