iter	Passed	Remaining
0	48	14539
1	50	7496
2	51	5135
3	53	3954
4	55	3246
5	56	2774
6	58	2439
7	59	2185
8	61	1986
9	63	1827
10	64	1697
11	66	1587
12	67	1496
13	69	1416
14	70	1347
15	72	1287
16	74	1234
17	75	1188
18	77	1146
19	79	1107
20	80	1072
21	82	1039
22	83	1010
23	85	982
24	87	958
25	88	935
26	90	913
27	91	893
28	93	874
29	95	856
30	96	840
31	98	824
32	100	809
33	101	795
34	103	781
35	104	769
36	106	757
37	108	745
38	109	733
39	111	723
40	112	712
41	114	702
42	115	692
43	117	684
44	119	675
45	120	666
46	122	658
47	123	650
48	125	642
49	127	635
50	128	627
51	130	620
52	131	613
53	133	607
54	134	601
55	136	594
56	138	588
57	139	582
58	141	577
59	142	571
60	144	566
61	146	560
62	147	555
63	149	550
64	151	549
65	153	544
66	155	539
67	156	534
68	158	530
69	159	525
70	161	520
71	162	516
72	164	511
73	166	507
74	167	503
75	169	498
76	170	494
77	172	491
78	174	487
79	175	483
80	177	479
81	178	475
82	180	472
83	182	468
84	183	464
85	185	461
86	186	457
87	188	453
88	189	450
89	191	446
90	193	443
91	194	440
92	196	437
93	197	433
94	199	430
95	201	427
96	202	424
97	204	421
98	205	418
99	207	415
100	209	412
101	210	409
102	212	406
103	213	403
104	215	400
105	217	397
106	218	394
107	220	391
108	221	388
109	223	386
110	225	383
111	226	380
112	228	377
113	229	375
114	231	372
115	233	369
116	234	367
117	236	364
118	237	361
119	242	363
120	243	360
121	245	358
122	246	355
123	248	352
124	250	350
125	251	347
126	253	344
127	254	342
128	256	340
129	258	337
130	259	335
131	261	332
132	263	330
133	264	328
134	267	326
135	268	324
136	270	321
137	271	319
138	273	316
139	275	314
140	276	312
141	278	309
142	280	307
143	281	305
144	283	303
145	285	300
146	286	298
147	288	296
148	290	293
149	291	291
150	293	289
151	294	286
152	296	284
153	298	282
154	299	280
155	301	278
156	302	275
157	304	273
158	306	271
159	307	269
160	309	267
161	310	264
162	312	262
163	314	260
164	315	258
165	317	256
166	319	254
167	320	251
168	322	249
169	323	247
170	325	245
171	326	243
172	328	241
173	330	239
174	331	236
175	333	234
176	334	232
177	336	230
178	338	228
179	339	226
180	341	224
181	342	222
182	344	220
183	346	218
184	347	216
185	349	214
186	350	211
187	352	209
188	354	207
189	355	205
190	357	203
191	358	201
192	360	199
193	362	197
194	363	195
195	365	193
196	367	191
197	368	189
198	370	188
199	371	185
200	373	184
201	375	182
202	376	180
203	378	178
204	379	176
205	381	174
206	383	172
207	384	170
208	386	168
209	387	166
210	389	164
211	391	162
212	392	160
213	394	158
214	395	156
215	397	154
216	399	152
217	400	150
218	402	148
219	403	146
220	405	144
221	407	143
222	408	141
223	410	139
224	411	137
225	413	135
226	414	133
227	416	131
228	418	129
229	419	127
230	421	125
231	422	123
232	424	122
233	425	120
234	427	118
235	429	116
236	430	114
237	432	112
238	433	110
239	435	108
240	437	107
241	438	105
242	440	103
243	441	101
244	443	99
245	445	97
246	446	95
247	448	94
248	449	92
249	451	90
250	453	88
251	454	86
252	456	84
253	457	82
254	459	81
255	461	79
256	462	77
257	464	75
258	466	73
259	467	71
260	469	70
261	471	68
262	472	66
263	474	64
264	476	62
265	477	61
266	479	59
267	480	57
268	482	55
269	483	53
270	485	51
271	487	50
272	488	48
273	490	46
274	492	44
275	493	42
276	495	41
277	496	39
278	498	37
279	500	35
280	501	33
281	503	32
282	504	30
283	506	28
284	508	26
285	509	24
286	511	23
287	512	21
288	514	19
289	516	17
290	517	16
291	519	14
292	521	12
293	522	10
294	524	8
295	525	7
296	527	5
297	529	3
298	530	1
299	532	0
