iter	RMSE
0	1.677434359
1	1.656695795
2	1.636828753
3	1.613183477
4	1.5970774
5	1.579937773
6	1.562185359
7	1.545835214
8	1.532031896
9	1.514178454
10	1.501389766
11	1.491775639
12	1.481503747
13	1.469632299
14	1.457311684
15	1.445229619
16	1.435396534
17	1.423687238
18	1.411037514
19	1.400853786
20	1.390644352
21	1.38243842
22	1.376859271
23	1.367389972
24	1.359242393
25	1.351040837
26	1.343693924
27	1.337243771
28	1.332053919
29	1.324823608
30	1.3178134
31	1.311422987
32	1.304492253
33	1.297379761
34	1.291322972
35	1.284563759
36	1.279891204
37	1.273683231
38	1.267386647
39	1.262801246
40	1.258171456
41	1.252827362
42	1.24852361
43	1.245168646
44	1.241968792
45	1.238841879
46	1.234036452
47	1.230458695
48	1.225903342
49	1.22242607
50	1.219340392
51	1.217437392
52	1.213915286
53	1.211718213
54	1.20840807
55	1.204683812
56	1.200836254
57	1.198953785
58	1.196554661
59	1.194740207
60	1.190667738
61	1.188817914
62	1.185961923
63	1.182748142
64	1.180993673
65	1.177385419
66	1.175883913
67	1.172042047
68	1.168844043
69	1.167039413
70	1.164487648
71	1.161007168
72	1.159822654
73	1.157703974
74	1.154742995
75	1.151365742
76	1.148252298
77	1.145778927
78	1.143435504
79	1.141590928
80	1.139733354
81	1.137471934
82	1.135614575
83	1.132721022
84	1.130056395
85	1.128064651
86	1.12720853
87	1.125421598
88	1.12248307
89	1.120472281
90	1.118932732
91	1.116852775
92	1.114796865
93	1.113629959
94	1.11160848
95	1.109814727
96	1.107057251
97	1.10426819
98	1.102793412
99	1.100400672
100	1.098349588
101	1.096795921
102	1.094075193
103	1.092053754
104	1.089957392
105	1.088186449
106	1.086246857
107	1.085133119
108	1.082981662
109	1.081882394
110	1.079612495
111	1.078610091
112	1.074688132
113	1.071774595
114	1.069203596
115	1.068230081
116	1.065969248
117	1.062848261
118	1.060479294
119	1.05880155
120	1.057830816
121	1.055417718
122	1.053528193
123	1.050039201
124	1.048650112
125	1.047728397
126	1.046709108
127	1.045662523
128	1.044153972
129	1.042718093
130	1.041867481
131	1.040231664
132	1.038751602
133	1.036517464
134	1.035044891
135	1.032988839
136	1.030808757
137	1.028993142
138	1.026847343
139	1.025238319
140	1.022597901
141	1.02109154
142	1.018309748
143	1.016863842
144	1.015143934
145	1.013680868
146	1.012923359
147	1.011352675
148	1.0094838
149	1.007472954
150	1.005567856
151	1.004718844
152	1.003045679
153	1.00092088
154	0.9992540356
155	0.9975572869
156	0.9965048914
157	0.994226497
158	0.9921477168
159	0.9901815282
160	0.9883819659
161	0.9871727134
162	0.9860420918
163	0.9843784413
164	0.982769267
165	0.9807262627
166	0.9784827643
167	0.9770646363
168	0.9754577487
169	0.9739245525
170	0.972286939
171	0.9701807752
172	0.9685147851
173	0.9674421054
174	0.9644832276
175	0.9630534631
176	0.9617074985
177	0.960387215
178	0.9594588587
179	0.9583200671
180	0.9570987668
181	0.9553856835
182	0.953776178
183	0.9528189737
184	0.9514088793
185	0.9496685728
186	0.9486285883
187	0.9466051631
188	0.9453177006
189	0.9442246325
190	0.9434297445
191	0.9420451132
192	0.9412485083
193	0.9395756664
194	0.9381835991
195	0.9364105299
196	0.934321229
197	0.9332414204
198	0.9311322446
199	0.9303175099
200	0.9289915125
201	0.9258136394
202	0.9245081325
203	0.9236668892
204	0.9225702879
205	0.9211707102
206	0.9200386902
207	0.9188126474
208	0.9171953871
209	0.9156745822
210	0.9137484276
211	0.9130073387
212	0.9114395731
213	0.9099340707
214	0.9074918719
215	0.9067014824
216	0.9059505449
217	0.9043646685
218	0.9030616394
219	0.9017648921
220	0.9002249367
221	0.8993669971
222	0.8973506913
223	0.8954519933
224	0.8946129754
225	0.8938484731
226	0.8930175776
227	0.8913593489
228	0.8903680741
229	0.8889000172
230	0.8870010377
231	0.8860954173
232	0.8852551068
233	0.8845904426
234	0.8833213206
235	0.8823204585
236	0.8808123954
237	0.8802998078
238	0.8796594014
239	0.8787874717
240	0.8772176242
241	0.8749407637
242	0.8742131257
243	0.8725245505
244	0.8701853159
245	0.8684691574
246	0.8674306208
247	0.8662850155
248	0.8651346571
249	0.8638295283
250	0.8629766165
251	0.8613062953
252	0.8594821464
253	0.8589362662
254	0.8580808702
255	0.8563911692
256	0.8556626025
257	0.8547083998
258	0.8538632434
259	0.8517982693
260	0.8505310842
261	0.8490695727
262	0.8483553222
263	0.8475200256
264	0.8468019788
265	0.8460223466
266	0.8452411791
267	0.8441916296
268	0.8427780288
269	0.8418616974
270	0.8410431034
271	0.8395112697
272	0.8378873149
273	0.8368872904
274	0.8360949513
275	0.8344357629
276	0.8332279364
277	0.8324458778
278	0.8312719834
279	0.8301492692
280	0.8290224187
281	0.8280814027
282	0.8273835496
283	0.8261876292
284	0.8246239638
285	0.8229323917
286	0.8219245662
287	0.8204451376
288	0.8196926692
289	0.8183750057
290	0.8172996578
291	0.8159086401
292	0.8150029063
293	0.8138727297
294	0.8126214845
295	0.8118341747
296	0.8110437454
297	0.8100728253
298	0.8093493969
299	0.8085861533
