iter	RMSE
0	1.795730217
1	1.77079455
2	1.747666298
3	1.725585541
4	1.700142374
5	1.6806391
6	1.657420684
7	1.638031185
8	1.616747058
9	1.598380945
10	1.581727097
11	1.569119719
12	1.555416641
13	1.54138327
14	1.526433472
15	1.512468009
16	1.499405219
17	1.487723436
18	1.475995389
19	1.468581922
20	1.458050372
21	1.447942877
22	1.438166162
23	1.428852702
24	1.419231724
25	1.408927559
26	1.398682285
27	1.387626619
28	1.379497093
29	1.372514664
30	1.365630403
31	1.356872071
32	1.348801887
33	1.343553805
34	1.334685643
35	1.327681181
36	1.320204579
37	1.313992416
38	1.307375814
39	1.300747028
40	1.294167025
41	1.288636753
42	1.284249122
43	1.279670998
44	1.274122542
45	1.268567211
46	1.264339944
47	1.260710375
48	1.256176739
49	1.250061071
50	1.243924067
51	1.239867401
52	1.232690567
53	1.229572344
54	1.226617771
55	1.221589419
56	1.216002829
57	1.212730731
58	1.209248788
59	1.203480581
60	1.200104321
61	1.194152766
62	1.190314427
63	1.186661579
64	1.183737139
65	1.179902861
66	1.176969548
67	1.174079415
68	1.170787848
69	1.168128396
70	1.162777097
71	1.158331034
72	1.153276629
73	1.149544258
74	1.147255468
75	1.142721414
76	1.13918348
77	1.13615916
78	1.132953754
79	1.130553786
80	1.128107396
81	1.126441545
82	1.122777848
83	1.119131966
84	1.116446235
85	1.113897308
86	1.11162625
87	1.106947502
88	1.104218859
89	1.10264655
90	1.099451013
91	1.097085371
92	1.094789827
93	1.093832118
94	1.091751413
95	1.089748569
96	1.088091646
97	1.085240249
98	1.082790575
99	1.08073506
100	1.078817953
101	1.077348859
102	1.075293486
103	1.072826
104	1.070283711
105	1.067572112
106	1.065050377
107	1.061964533
108	1.0603828
109	1.057223868
110	1.055725523
111	1.05230835
112	1.050955118
113	1.04825264
114	1.044579563
115	1.043102829
116	1.040924561
117	1.037022237
118	1.035024617
119	1.032953793
120	1.029260271
121	1.026786326
122	1.024852609
123	1.023057062
124	1.020859404
125	1.018908968
126	1.017255685
127	1.015738316
128	1.012672996
129	1.009723029
130	1.008072706
131	1.00616218
132	1.004555062
133	1.002668433
134	1.000464786
135	0.998209042
136	0.9960431508
137	0.9940662683
138	0.9922867942
139	0.9912123317
140	0.9885303189
141	0.9862992708
142	0.9848807281
143	0.9839497591
144	0.9822774056
145	0.9804305121
146	0.9773744128
147	0.9750595598
148	0.9730754944
149	0.970933172
150	0.9689738457
151	0.9670019923
152	0.9652974609
153	0.962922516
154	0.9609859441
155	0.9593923296
156	0.9573297033
157	0.9555394861
158	0.9530013987
159	0.9503660343
160	0.9481494633
161	0.9462302061
162	0.9442946485
163	0.9417411087
164	0.9390164757
165	0.9379819267
166	0.9361253286
167	0.9345087441
168	0.931708635
169	0.9295611562
170	0.9273640998
171	0.9254547626
172	0.9236787183
173	0.9215323854
174	0.9190139416
175	0.9167823153
176	0.9146819491
177	0.9132509846
178	0.9118798708
179	0.9094245936
180	0.9080469062
181	0.905962925
182	0.9043695619
183	0.9024400674
184	0.9008087357
185	0.8990457484
186	0.8974800744
187	0.8959164651
188	0.8936017659
189	0.891848417
190	0.8910378137
191	0.8887417817
192	0.887101985
193	0.8856558179
194	0.8838318009
195	0.8811838724
196	0.8796467634
197	0.8779263371
198	0.8760309944
199	0.8749041095
200	0.8736743729
201	0.8722169778
202	0.8709140071
203	0.8695970297
204	0.8679801787
205	0.865808048
206	0.8634037992
207	0.8625720614
208	0.8610592795
209	0.8587572635
210	0.8567639578
211	0.8556092979
212	0.8536746441
213	0.8513237219
214	0.850189978
215	0.8485553799
216	0.8466567162
217	0.8451545259
218	0.8437247314
219	0.8425524543
220	0.8408639251
221	0.8394854544
222	0.8378950131
223	0.8370901474
224	0.8361254079
225	0.8353067333
226	0.833751673
227	0.8315680828
228	0.830444667
229	0.8287914485
230	0.827244749
231	0.8256589529
232	0.8235950294
233	0.8228997372
234	0.8209141463
235	0.8200726605
236	0.8180484626
237	0.8170494467
238	0.8156610625
239	0.8138904216
240	0.8128180213
241	0.8107192189
242	0.8101505225
243	0.8083364346
244	0.8076020177
245	0.8058540698
246	0.8054788437
247	0.8040742351
248	0.8029919892
249	0.801113498
250	0.7998133635
251	0.7981293442
252	0.796435081
253	0.7949922189
254	0.7935328161
255	0.7924096887
256	0.7914374692
257	0.7901878647
258	0.7892079757
259	0.7877954773
260	0.7872442491
261	0.7861164524
262	0.7852999598
263	0.7834995629
264	0.7819607825
265	0.7804387416
266	0.7795432317
267	0.7782203338
268	0.7776761778
269	0.7763947097
270	0.775397704
271	0.7736722287
272	0.7732427424
273	0.7714427447
274	0.7702070601
275	0.7688499078
276	0.7673974492
277	0.7656962651
278	0.7641019328
279	0.7625333314
280	0.761947368
281	0.760409665
282	0.7591041432
283	0.7578581078
284	0.7562450687
285	0.7551410561
286	0.754071504
287	0.7525884783
288	0.7511575085
289	0.7495457428
290	0.7475181213
291	0.7468024254
292	0.7455501073
293	0.7449334894
294	0.7431315609
295	0.7427880301
296	0.7412561439
297	0.7402051712
298	0.7394522201
299	0.7387547777
