iter	Passed	Remaining
0	58	5768
1	61	3027
2	65	2104
3	68	1639
4	71	1358
5	74	1170
6	77	1033
7	80	930
8	84	850
9	87	786
10	90	732
11	93	686
12	97	649
13	100	615
14	103	585
15	106	560
16	109	536
17	113	515
18	116	497
19	120	480
20	123	463
21	126	449
22	130	438
23	136	430
24	139	418
25	143	407
26	146	395
27	149	384
28	153	374
29	156	365
30	160	356
31	163	347
32	166	338
33	169	329
34	173	322
35	177	315
36	181	308
37	184	301
38	188	294
39	191	287
40	195	281
41	199	274
42	202	268
43	205	262
44	209	256
45	213	250
46	217	244
47	220	239
48	224	233
49	227	227
50	231	222
51	234	216
52	238	211
53	241	205
54	245	200
55	249	195
56	252	190
57	256	186
58	260	181
59	263	175
60	267	171
61	271	166
62	274	161
63	277	156
64	281	151
65	284	146
66	288	141
67	291	137
68	295	132
69	298	127
70	302	123
71	305	118
72	309	114
73	312	109
74	316	105
75	320	101
76	324	96
77	327	92
78	331	88
79	334	83
80	337	79
81	340	74
82	343	70
83	347	66
84	350	61
85	354	57
86	357	53
87	360	49
88	363	44
89	367	40
90	370	36
91	373	32
92	377	28
93	380	24
94	384	20
95	387	16
96	391	12
97	394	8
98	397	4
99	401	0
