iter	RMSE
0	2.095201333
1	2.039864665
2	1.984242431
3	1.942777353
4	1.906647736
5	1.869898845
6	1.837344038
7	1.81412916
8	1.784769736
9	1.762373243
10	1.73985353
11	1.716365917
12	1.698970624
13	1.67310729
14	1.659806818
15	1.644260826
16	1.630555546
17	1.614373121
18	1.605574813
19	1.597001029
20	1.589196831
21	1.577979736
22	1.567386599
23	1.551904303
24	1.536079871
25	1.527329311
26	1.521501701
27	1.514114662
28	1.508675406
29	1.501723461
30	1.494958563
31	1.487798966
32	1.481841391
33	1.477487446
34	1.474455842
35	1.470211906
36	1.465358012
37	1.454459547
38	1.446227505
39	1.440410143
40	1.436049088
41	1.428892866
42	1.417875583
43	1.407170105
44	1.400125083
45	1.391458201
46	1.383727877
47	1.375820911
48	1.369346078
49	1.364619104
50	1.357856306
51	1.353828637
52	1.349680163
53	1.3437059
54	1.335418864
55	1.327750243
56	1.322494002
57	1.313669054
58	1.309139443
59	1.307490826
60	1.303022159
61	1.296268538
62	1.284725058
63	1.278616431
64	1.272606591
65	1.270159035
66	1.26908661
67	1.263954971
68	1.259256557
69	1.254136067
70	1.246958113
71	1.246588761
72	1.239169036
73	1.232310346
74	1.227048238
75	1.224739541
76	1.222103715
77	1.215959213
78	1.210478158
79	1.207933133
80	1.200003031
81	1.198793489
82	1.188608216
83	1.185547351
84	1.183829415
85	1.178851321
86	1.172914411
87	1.17142456
88	1.167627394
89	1.163155157
90	1.153216676
91	1.145775107
92	1.143097591
93	1.140861798
94	1.137435281
95	1.130729548
96	1.122902828
97	1.121328565
98	1.119747027
99	1.112266031
