iter	Passed	Remaining
0	51	5052
1	53	2609
2	55	1793
3	57	1382
4	59	1138
5	61	969
6	63	849
7	66	760
8	68	690
9	70	634
10	72	590
11	75	551
12	77	517
13	79	487
14	81	464
15	84	441
16	86	421
17	88	403
18	90	386
19	92	371
20	94	356
21	97	343
22	98	331
23	101	320
24	103	309
25	105	300
26	107	290
27	109	282
28	111	273
29	113	265
30	115	256
31	117	249
32	119	242
33	121	236
34	123	229
35	125	223
36	127	217
37	129	211
38	132	206
39	134	201
40	136	196
41	139	193
42	142	188
43	144	183
44	147	179
45	149	175
46	151	171
47	154	167
48	156	162
49	158	158
50	160	154
51	162	150
52	164	145
53	166	142
54	169	138
55	172	135
56	174	131
57	176	128
58	179	124
59	181	120
60	183	117
61	185	113
62	187	110
63	190	106
64	192	103
65	194	100
66	196	96
67	198	93
68	201	90
69	203	87
70	205	84
71	206	80
72	208	77
73	211	74
74	213	71
75	215	67
76	217	65
77	220	62
78	222	59
79	223	55
80	225	52
81	228	50
82	230	47
83	232	44
84	234	41
85	237	38
86	239	35
87	241	32
88	244	30
89	246	27
90	248	24
91	250	21
92	253	19
93	255	16
94	258	13
95	260	10
96	262	8
97	264	5
98	267	2
99	270	0
