iter	RMSE
0	2.129016239
1	2.105871172
2	2.081310722
3	2.058956995
4	2.038280541
5	2.01254473
6	1.991369651
7	1.97350997
8	1.951623381
9	1.933967125
10	1.916318563
11	1.89960473
12	1.886256069
13	1.870885205
14	1.859432399
15	1.844706004
16	1.833024348
17	1.820068932
18	1.805878595
19	1.795544092
20	1.785939349
21	1.774516388
22	1.763452998
23	1.754452101
24	1.74406664
25	1.73295466
26	1.722748343
27	1.713020181
28	1.705973582
29	1.696741786
30	1.687968505
31	1.681059519
32	1.674480399
33	1.667273452
34	1.662431843
35	1.656741832
36	1.651344794
37	1.645095774
38	1.63886468
39	1.634012698
40	1.629906283
41	1.622847866
42	1.618752053
43	1.61396929
44	1.609147016
45	1.606087041
46	1.602355405
47	1.597195726
48	1.591543204
49	1.587819023
50	1.584057695
51	1.580616146
52	1.577413346
53	1.572731115
54	1.56675315
55	1.562818228
56	1.559045802
57	1.555007896
58	1.550226763
59	1.546710463
60	1.54396248
61	1.539195781
62	1.536025302
63	1.533534896
64	1.530930487
65	1.527089531
66	1.524033906
67	1.522859221
68	1.521164771
69	1.518207186
70	1.515342592
71	1.512730988
72	1.509270134
73	1.506111099
74	1.50357867
75	1.499692474
76	1.496601395
77	1.492447198
78	1.491610346
79	1.488391771
80	1.485486446
81	1.482107717
82	1.479034851
83	1.474325005
84	1.471337231
85	1.470077454
86	1.467264924
87	1.464716694
88	1.463947176
89	1.461261743
90	1.460023121
91	1.456830804
92	1.453818412
93	1.450480868
94	1.446271267
95	1.444551416
96	1.442445601
97	1.439287019
98	1.436017366
99	1.434066497
100	1.432184936
101	1.42956102
102	1.428132075
103	1.425683118
104	1.423167848
105	1.422489356
106	1.42012764
107	1.417019398
108	1.415558385
109	1.413711961
110	1.411603421
111	1.409054839
112	1.405515407
113	1.402752088
114	1.4012929
115	1.400906592
116	1.399144733
117	1.397428128
118	1.39558967
119	1.393964045
120	1.390750437
121	1.387842122
122	1.385614645
123	1.384918795
124	1.382781496
125	1.379971942
126	1.377579905
127	1.374611927
128	1.372355206
129	1.371813363
130	1.37005056
131	1.367897676
132	1.363544345
133	1.360802609
134	1.357836265
135	1.355382454
136	1.351959291
137	1.349189716
138	1.346789892
139	1.344151365
140	1.343873865
141	1.342791371
142	1.340327365
143	1.338675916
144	1.337411213
145	1.33455675
146	1.332660156
147	1.332049022
148	1.331361299
149	1.330890421
150	1.329774057
151	1.328414031
152	1.32738025
153	1.324681619
154	1.322541553
155	1.320933011
156	1.31771939
157	1.317458525
158	1.316812319
159	1.316197143
160	1.315594188
161	1.314626288
162	1.31402441
163	1.313497333
164	1.312762791
165	1.308909623
166	1.307320247
167	1.306778285
168	1.30594281
169	1.303609004
170	1.303103502
171	1.300194596
172	1.298085685
173	1.297939915
174	1.294927935
175	1.294717571
176	1.293487858
177	1.291619012
178	1.291428292
179	1.289166427
180	1.288881483
181	1.288083531
182	1.286406793
183	1.286069187
184	1.283944588
185	1.283490868
186	1.283251424
187	1.279390959
188	1.279149628
189	1.278656452
190	1.275349881
191	1.274939339
192	1.271813826
