iter	RMSE
0	2.130456874
1	2.108850886
2	2.08072441
3	2.055815576
4	2.032276695
5	2.010116998
6	1.990874565
7	1.970533828
8	1.949383011
9	1.934043085
10	1.914904042
11	1.899700869
12	1.881141915
13	1.86705576
14	1.849756575
15	1.836476211
16	1.82401074
17	1.812203955
18	1.799453516
19	1.7893262
20	1.779634833
21	1.767474097
22	1.757591157
23	1.749134823
24	1.74185773
25	1.734541343
26	1.727402211
27	1.717045586
28	1.709023551
29	1.70314771
30	1.698980058
31	1.692113888
32	1.682635269
33	1.676245188
34	1.670668304
35	1.665089608
36	1.661405785
37	1.654624723
38	1.648247621
39	1.639207578
40	1.634725381
41	1.627720858
42	1.621807691
43	1.617173033
44	1.613636706
45	1.609896095
46	1.605540535
47	1.600808153
48	1.596091188
49	1.593204108
50	1.589201634
51	1.586820297
52	1.583887203
53	1.580675088
54	1.575397482
55	1.571291729
56	1.567515834
57	1.562931597
58	1.56051131
59	1.556303867
60	1.553747796
61	1.548069288
62	1.544054916
63	1.541121365
64	1.53826742
65	1.533455455
66	1.530959557
67	1.527965227
68	1.525659154
69	1.522898305
70	1.521239944
71	1.519597183
72	1.517176678
73	1.514354001
74	1.51110031
75	1.508752098
76	1.506696749
77	1.505163873
78	1.502846395
79	1.499517169
80	1.496835434
81	1.49488833
82	1.492900143
83	1.49078581
84	1.48847091
85	1.485702857
86	1.48281267
87	1.481652307
88	1.479723515
89	1.478952638
90	1.475609799
91	1.473417352
92	1.471796676
93	1.46947509
94	1.467936896
95	1.465649796
96	1.463809251
97	1.461709092
98	1.460388856
99	1.457525858
100	1.455045281
101	1.453157356
102	1.451721836
103	1.449873086
104	1.446998062
105	1.445547224
106	1.444121624
107	1.440434646
108	1.439464709
109	1.437713935
110	1.435371514
111	1.43359194
112	1.431579472
113	1.429951205
114	1.42787102
115	1.425156257
116	1.421714716
117	1.420836656
118	1.419230476
119	1.416992489
120	1.416342394
121	1.414794768
122	1.412582521
123	1.410199866
124	1.408696475
125	1.407223162
126	1.406319204
127	1.405189999
128	1.403421108
129	1.402019712
130	1.400361309
131	1.398028598
132	1.397312225
133	1.394706769
134	1.393199375
135	1.391035392
136	1.388759227
137	1.388162869
138	1.386465476
139	1.38529414
140	1.382839545
141	1.381678135
142	1.380243213
143	1.379279134
144	1.377591361
145	1.37554732
146	1.374620696
147	1.373174839
148	1.371850746
149	1.370548869
150	1.367340844
151	1.365929906
152	1.363987159
153	1.361752796
154	1.360460568
155	1.359378999
156	1.357897949
157	1.355886062
158	1.352517538
159	1.35048005
160	1.349458965
161	1.348079194
162	1.346410807
163	1.344197545
164	1.34315697
165	1.342119053
166	1.340689176
167	1.338895959
168	1.336163557
169	1.334885903
170	1.332737911
171	1.33116358
172	1.33004749
173	1.327554763
174	1.325577961
175	1.32378613
176	1.322671799
177	1.32180082
178	1.320713055
179	1.319720149
180	1.319003133
181	1.316077364
182	1.314432024
183	1.313487466
184	1.309224779
185	1.307634293
186	1.306916391
187	1.305503071
188	1.303864709
189	1.303306123
190	1.301903311
191	1.300477727
192	1.299314291
193	1.297237573
194	1.295873159
195	1.294506584
196	1.29382261
197	1.292529758
198	1.291237878
199	1.290578503
200	1.289014839
201	1.28613751
202	1.285063971
203	1.281762497
204	1.279502556
205	1.278531115
206	1.276538409
207	1.2753082
208	1.274247607
209	1.273185216
210	1.271104717
211	1.270419676
212	1.269297368
213	1.267324051
214	1.26592004
215	1.264500698
216	1.263220135
217	1.261682487
218	1.259439443
219	1.2579173
220	1.25584796
221	1.254360461
222	1.252944913
223	1.251353181
224	1.250120013
225	1.249335698
226	1.247829012
227	1.246406612
228	1.245881593
229	1.244110123
230	1.242540643
231	1.241449711
232	1.24106536
233	1.239963251
234	1.237562519
235	1.235041863
236	1.234129761
237	1.232121055
238	1.2310603
239	1.230432216
240	1.229183807
241	1.227621747
242	1.225523409
243	1.22441494
244	1.222966027
245	1.221278999
246	1.220172643
247	1.21860292
248	1.217568108
249	1.216357988
250	1.21579259
251	1.215153573
252	1.214394432
253	1.213339007
254	1.212533413
255	1.211283938
256	1.210609647
257	1.209572277
258	1.207789593
259	1.206357831
260	1.204592353
261	1.203588189
262	1.202531547
263	1.200609167
264	1.199609262
265	1.199163051
266	1.198685507
267	1.198148916
268	1.19687096
269	1.19437482
270	1.193420953
271	1.191347038
272	1.189859391
273	1.189067795
274	1.188476479
275	1.186529287
276	1.18538728
277	1.18418257
278	1.183362963
279	1.182017965
280	1.180389062
281	1.1794271
282	1.177843115
283	1.176540572
284	1.176013254
285	1.175370169
286	1.174714195
287	1.173928789
288	1.173250593
289	1.171899262
290	1.171523535
291	1.169592888
292	1.168400452
293	1.166750711
294	1.165897744
295	1.165330113
296	1.164630979
297	1.163925626
298	1.162829669
299	1.16199238
