iter	Passed	Remaining
0	48	14591
1	50	7463
2	51	5075
3	52	3878
4	53	3161
5	54	2679
6	55	2336
7	56	2078
8	58	1876
9	59	1716
10	60	1582
11	61	1472
12	62	1378
13	63	1297
14	64	1228
15	66	1171
16	67	1117
17	68	1069
18	69	1026
19	70	986
20	72	958
21	74	937
22	75	907
23	76	879
24	77	853
25	78	829
26	79	807
27	80	786
28	82	766
29	83	748
30	84	731
31	85	715
32	86	699
33	87	684
34	88	671
35	89	658
36	90	645
37	92	634
38	93	623
39	94	613
40	95	603
41	96	593
42	97	584
43	98	575
44	99	566
45	101	558
46	102	551
47	103	543
48	104	536
49	105	529
50	106	522
51	108	515
52	109	508
53	110	502
54	111	496
55	112	490
56	113	485
57	114	479
58	115	473
59	117	468
60	118	462
61	119	457
62	120	452
63	121	447
64	122	443
65	123	439
66	125	434
67	126	430
68	127	425
69	128	421
70	129	417
71	130	413
72	131	409
73	132	405
74	133	401
75	134	397
76	135	393
77	137	390
78	138	386
79	139	383
80	140	379
81	141	376
82	142	372
83	143	369
84	144	366
85	145	362
86	146	359
87	147	356
88	149	353
89	150	350
90	151	347
91	152	344
92	153	341
93	154	338
94	155	336
95	156	333
96	158	330
97	159	328
98	160	325
99	161	322
100	162	320
101	163	317
102	164	315
103	165	312
104	166	309
105	167	307
106	169	305
107	170	302
108	171	300
109	172	297
110	173	295
111	174	292
112	175	290
113	176	288
114	177	286
115	178	283
116	179	281
117	181	279
118	182	277
119	183	275
120	184	273
121	185	271
122	186	268
123	188	267
124	189	264
125	190	262
126	191	260
127	192	258
128	193	256
129	194	254
130	195	252
131	197	250
132	198	248
133	199	246
134	200	245
135	201	243
136	202	241
137	203	239
138	204	237
139	205	235
140	206	233
141	208	231
142	209	229
143	210	227
144	211	226
145	212	224
146	213	222
147	214	220
148	215	218
149	217	217
150	218	215
151	219	213
152	220	211
153	221	210
154	222	208
155	223	206
156	224	204
157	225	203
158	227	201
159	228	199
160	229	197
161	230	196
162	231	194
163	232	192
164	233	191
165	234	189
166	235	187
167	236	186
168	238	184
169	239	183
170	240	181
171	241	179
172	242	178
173	243	176
174	244	174
175	246	173
176	247	171
177	248	170
178	249	168
179	250	167
180	251	165
181	252	163
182	253	162
183	254	160
184	255	159
185	257	157
186	258	155
187	259	154
188	260	152
189	261	151
190	262	149
191	263	148
192	264	146
193	265	145
194	267	143
195	268	142
196	269	140
197	270	139
198	271	137
199	272	136
200	273	134
201	275	133
202	276	131
203	277	130
204	278	128
205	279	127
206	280	126
207	281	124
208	282	123
209	284	121
210	285	120
211	286	118
212	287	117
213	288	115
214	289	114
215	290	113
216	291	111
217	292	110
218	293	108
219	295	107
220	296	105
221	297	104
222	298	103
223	299	101
224	300	100
225	301	98
226	302	97
227	304	96
228	305	94
229	306	93
230	307	91
231	308	90
232	309	89
233	310	87
234	311	86
235	312	84
236	314	83
237	315	82
238	316	80
239	317	79
240	318	77
241	319	76
242	320	75
243	321	73
244	322	72
245	323	71
246	325	69
247	326	68
248	327	67
249	328	65
250	329	64
251	330	62
252	331	61
253	332	60
254	333	58
255	335	57
256	336	56
257	337	54
258	338	53
259	339	52
260	341	50
261	342	49
262	343	48
263	344	46
264	345	45
265	346	44
266	347	42
267	348	41
268	349	40
269	351	39
270	352	37
271	353	36
272	354	35
273	355	33
274	356	32
275	357	31
276	358	29
277	359	28
278	361	27
279	362	25
280	363	24
281	364	23
282	365	21
283	366	20
284	367	19
285	368	18
286	369	16
287	370	15
288	372	14
289	373	12
290	374	11
291	375	10
292	376	8
293	377	7
294	378	6
295	379	5
296	380	3
297	382	2
298	383	1
299	384	0
