iter	RMSE
0	2.124324078
1	2.090315701
2	2.061394967
3	2.029029056
4	2.003784417
5	1.973207622
6	1.945971401
7	1.919282453
8	1.896198998
9	1.871120473
10	1.846584993
11	1.827123691
12	1.805659953
13	1.789143301
14	1.769529998
15	1.750867558
16	1.733477622
17	1.715218903
18	1.700528404
19	1.685196615
20	1.673299308
21	1.657461213
22	1.645228609
23	1.635574497
24	1.624787554
25	1.611557708
26	1.600660709
27	1.59064024
28	1.581058097
29	1.570223953
30	1.563285418
31	1.554340449
32	1.542110967
33	1.533338977
34	1.523813279
35	1.516093324
36	1.507646337
37	1.50007991
38	1.494864658
39	1.487981395
40	1.481235644
41	1.473983931
42	1.467265779
43	1.460902491
44	1.45415523
45	1.448108949
46	1.442012068
47	1.436380783
48	1.43126464
49	1.42322145
50	1.417494925
51	1.413525917
52	1.408400083
53	1.405614906
54	1.399695448
55	1.393240858
56	1.39111107
57	1.386139636
58	1.380742404
59	1.375859608
60	1.371118799
61	1.368052832
62	1.362668434
63	1.357972405
64	1.35130926
65	1.347323967
66	1.342683587
67	1.339954578
68	1.337408709
69	1.333063267
70	1.330002983
71	1.326877941
72	1.32329175
73	1.319652515
74	1.316266566
75	1.312839156
76	1.308755457
77	1.304517289
78	1.300868225
79	1.296846731
80	1.292578919
81	1.290174606
82	1.285370883
83	1.283384845
84	1.280031847
85	1.276237947
86	1.271794536
87	1.269294738
88	1.266257125
89	1.263071612
90	1.260783155
91	1.256487336
92	1.253568849
93	1.251692602
94	1.249236338
95	1.247122081
96	1.242073115
97	1.238774085
98	1.236147734
99	1.232561862
