iter	Passed	Remaining
0	53	5297
1	57	2796
2	60	1954
3	64	1537
4	67	1284
5	71	1114
6	74	991
7	78	898
8	81	825
9	85	768
10	88	719
11	92	678
12	96	645
13	99	614
14	103	587
15	107	563
16	110	541
17	114	520
18	117	502
19	121	485
20	125	470
21	128	456
22	132	442
23	135	430
24	139	417
25	142	406
26	146	395
27	149	385
28	153	375
29	157	366
30	160	358
31	164	349
32	168	342
33	172	334
34	175	326
35	179	319
36	183	311
37	186	304
38	190	298
39	194	291
40	197	284
41	200	277
42	204	270
43	207	264
44	211	258
45	215	252
46	219	247
47	226	245
48	232	242
49	239	239
50	247	237
51	250	231
52	254	225
53	258	219
54	261	214
55	265	208
56	267	202
57	271	196
58	275	191
59	279	186
60	282	180
61	286	175
62	289	170
63	293	165
64	297	159
65	300	154
66	304	149
67	307	144
68	312	140
69	315	135
70	319	130
71	322	125
72	326	120
73	329	115
74	333	111
75	337	106
76	340	101
77	344	97
78	347	92
79	351	87
80	354	83
81	358	78
82	362	74
83	365	69
84	369	65
85	374	60
86	377	56
87	382	52
88	386	47
89	391	43
90	395	39
91	399	34
92	403	30
93	406	25
94	411	21
95	415	17
96	418	12
97	423	8
98	426	4
99	430	0
