iter	RMSE
0	2.093779857
1	2.047821616
2	2.011959081
3	1.977301077
4	1.94814115
5	1.921250509
6	1.895337406
7	1.86946146
8	1.846651354
9	1.827660576
10	1.805510672
11	1.789610558
12	1.774217586
13	1.760299228
14	1.75505047
15	1.742444078
16	1.733961261
17	1.725744768
18	1.718263727
19	1.710333779
20	1.703842591
21	1.694688064
22	1.686700003
23	1.68167973
24	1.677364802
25	1.668935713
26	1.663625909
27	1.656473738
28	1.652187074
29	1.647268962
30	1.645249912
31	1.640161583
32	1.63186804
33	1.626594913
34	1.621915999
35	1.617952776
36	1.612465488
37	1.607821625
38	1.604512098
39	1.600614102
40	1.59790308
41	1.595330235
42	1.591985463
43	1.586466533
44	1.581960812
45	1.578300741
46	1.575124778
47	1.570481713
48	1.564371972
49	1.562689345
50	1.558574366
51	1.55596005
52	1.552444502
53	1.550059866
54	1.546359922
55	1.541373388
56	1.537497656
57	1.534498169
58	1.530878638
59	1.527560933
60	1.523522495
61	1.519214425
62	1.51471487
63	1.51343191
64	1.508657977
65	1.507492573
66	1.504205485
67	1.500107121
68	1.49618129
69	1.493915425
70	1.489795931
71	1.486473654
72	1.482684001
73	1.480688606
74	1.477231036
75	1.472519427
76	1.470388239
77	1.46533726
78	1.464965912
79	1.460782099
80	1.459737224
81	1.457231502
82	1.456709953
83	1.453132902
84	1.450449759
85	1.448895157
86	1.448622105
87	1.443766047
88	1.443039997
89	1.441143657
90	1.435996225
91	1.435236518
92	1.433582772
93	1.432685104
94	1.431513151
95	1.430517591
96	1.430418907
97	1.426101402
98	1.423051752
99	1.420173342
