iter	Passed	Remaining
0	49	4880
1	51	2508
2	52	1706
3	54	1316
4	56	1073
5	58	911
6	60	798
7	61	709
8	63	642
9	65	586
10	66	540
11	68	502
12	70	469
13	72	442
14	72	409
15	73	388
16	75	368
17	77	351
18	79	336
19	80	322
20	82	309
21	84	298
22	85	286
23	87	276
24	89	267
25	90	258
26	92	250
27	94	242
28	96	235
29	98	229
30	99	222
31	101	216
32	103	210
33	105	203
34	106	198
35	108	192
36	109	187
37	111	181
38	113	177
39	115	172
40	116	168
41	118	163
42	120	159
43	122	155
44	124	151
45	125	147
46	127	144
47	129	140
48	131	136
49	133	133
50	135	130
51	137	126
52	138	123
53	140	119
54	141	116
55	143	112
56	145	109
57	147	106
58	149	103
59	151	100
60	152	97
61	154	94
62	156	92
63	158	89
64	160	86
65	161	83
66	163	80
67	165	77
68	167	75
69	168	72
70	170	69
71	172	67
72	174	64
73	176	61
74	178	59
75	179	56
76	181	54
77	183	51
78	185	49
79	187	46
80	189	44
81	191	41
82	193	39
83	194	37
84	196	34
85	198	32
86	199	29
87	201	27
88	203	25
89	205	22
90	207	20
91	208	18
92	210	15
93	212	13
94	214	11
95	216	9
96	216	6
97	218	4
98	220	2
99	222	0
