iter	RMSE
0	2.152026247
1	2.146399584
2	2.139370648
3	2.133366569
4	2.12650786
5	2.120906761
6	2.114923573
7	2.109586363
8	2.103304265
9	2.09867892
10	2.092872494
11	2.087053508
12	2.080822889
13	2.075857819
14	2.070251442
15	2.06422951
16	2.058201159
17	2.052460567
18	2.04817124
19	2.042883721
20	2.037896224
21	2.033247732
22	2.02754947
23	2.022291701
24	2.016323806
25	2.011635036
26	2.006225478
27	2.001718013
28	1.997376968
29	1.992418397
30	1.987683262
31	1.982820116
32	1.978535704
33	1.973637102
34	1.969156792
35	1.964585667
36	1.960019049
37	1.956136741
38	1.952092086
39	1.947702641
40	1.943560416
41	1.938562988
42	1.93360492
43	1.930055096
44	1.926381227
45	1.922075989
46	1.918428017
47	1.914133164
48	1.910408783
49	1.906558908
50	1.902363438
51	1.898435219
52	1.89412647
53	1.891451494
54	1.888096877
55	1.884686861
56	1.881074101
57	1.877454816
58	1.87430127
59	1.870403046
60	1.866546414
61	1.863594025
62	1.860198539
63	1.856784138
64	1.853033957
65	1.850144673
66	1.847389602
67	1.843987927
68	1.839965361
69	1.836375514
70	1.83359955
71	1.82970346
72	1.827177158
73	1.825033231
74	1.822113914
75	1.818406817
76	1.815376996
77	1.813118717
78	1.810461064
79	1.807150463
80	1.804445326
81	1.801740169
82	1.799132523
83	1.795836359
84	1.792781874
85	1.789795527
86	1.786653498
87	1.784356068
88	1.782101449
89	1.780014921
90	1.777169205
91	1.774980974
92	1.772433105
93	1.76921986
94	1.766289008
95	1.763106313
96	1.760083025
97	1.757808675
98	1.755819032
99	1.753514692
100	1.751270629
101	1.749380648
102	1.747779378
103	1.745757043
104	1.743309129
105	1.740964459
106	1.738896665
107	1.737325931
108	1.734819103
109	1.732455345
110	1.730010585
111	1.727759009
112	1.725353357
113	1.72294124
114	1.720378244
115	1.718207127
116	1.717449577
117	1.715992144
118	1.714025804
119	1.71247398
120	1.710562426
121	1.708535983
122	1.70584307
123	1.704230108
124	1.702010434
125	1.700170682
126	1.697538036
127	1.696066817
128	1.695559665
129	1.693281155
130	1.692175631
131	1.690529081
132	1.688299171
133	1.68660935
134	1.684899832
135	1.682959623
136	1.681503944
137	1.680104894
138	1.678514012
139	1.676607606
140	1.674515181
141	1.673209236
142	1.671187179
143	1.670583697
144	1.669130283
145	1.667604349
146	1.666112925
147	1.664272767
148	1.662633953
149	1.660509172
150	1.659342475
151	1.657310192
152	1.655640304
153	1.654247645
154	1.652442041
155	1.651066469
156	1.649756128
157	1.648587474
158	1.647332603
159	1.646308233
160	1.644631618
161	1.643809022
162	1.642154761
163	1.640809961
164	1.639720758
165	1.637963304
166	1.636610806
167	1.634974765
168	1.633657605
169	1.63187207
170	1.63087046
171	1.6295808
172	1.628570634
173	1.62746194
174	1.626158689
175	1.624546741
176	1.6228069
177	1.621578719
178	1.62025276
179	1.619175288
180	1.617767651
181	1.616562219
182	1.615182948
183	1.614039766
184	1.612284431
185	1.611068217
186	1.6097615
187	1.609051263
188	1.60770699
189	1.606590383
190	1.605468662
191	1.604329592
192	1.602837395
193	1.60177705
194	1.600363826
195	1.598985525
196	1.597792531
197	1.596794345
198	1.595709791
199	1.594794163
200	1.593500985
201	1.592418361
202	1.59089349
203	1.590267522
204	1.589372836
205	1.588234483
206	1.587359722
207	1.586280555
208	1.584734818
209	1.583103606
210	1.581251487
211	1.580045403
212	1.578745509
213	1.577936248
214	1.576757381
215	1.575686313
216	1.575018863
217	1.573738219
218	1.572900311
219	1.571947382
220	1.570955007
221	1.570220849
222	1.569124744
223	1.567937719
224	1.566417624
225	1.565790171
226	1.564472319
227	1.563259515
228	1.562502047
229	1.562299906
230	1.560855967
231	1.559438663
232	1.558106456
233	1.55722962
234	1.556290447
235	1.55507583
236	1.554044695
237	1.553437185
238	1.552622836
239	1.551781295
240	1.550310536
241	1.549279717
242	1.547989139
243	1.547188029
244	1.545820716
245	1.544665482
246	1.54396276
247	1.5430017
248	1.541960854
249	1.540769432
250	1.539817246
251	1.538765394
252	1.538408234
253	1.537658871
254	1.536852174
255	1.536085849
256	1.534726873
257	1.534098758
258	1.533593867
259	1.53293878
260	1.531754129
261	1.530611286
262	1.52904999
263	1.528074795
264	1.527498717
265	1.526594717
266	1.526066403
267	1.525379363
268	1.524537725
269	1.523629304
270	1.522547939
271	1.521846574
272	1.521066476
273	1.520223432
274	1.519356835
275	1.518748983
276	1.518186486
277	1.516846154
278	1.515899285
279	1.514644338
280	1.513700919
281	1.512894618
282	1.511582298
283	1.510622265
284	1.510061529
285	1.509291867
286	1.508219063
287	1.507488814
288	1.507110786
289	1.506145779
290	1.505322429
291	1.504522189
292	1.50445439
293	1.50395719
294	1.503533054
295	1.502560856
296	1.501551387
297	1.500889161
298	1.500223581
299	1.49969208
300	1.499153145
301	1.498464236
302	1.497727577
303	1.496750329
304	1.495828538
305	1.49523797
306	1.49465617
307	1.494257634
308	1.493752026
309	1.493228035
310	1.492444083
311	1.491947689
312	1.491439239
313	1.490563118
314	1.489699306
315	1.489148782
316	1.488670742
317	1.487645965
318	1.486794313
319	1.485761012
320	1.485375951
321	1.484603957
322	1.483164749
323	1.482456142
324	1.481828372
325	1.480909008
326	1.480517224
327	1.479134602
328	1.478398628
329	1.477356836
330	1.476737893
331	1.476114725
332	1.475233577
333	1.474808518
334	1.474379223
335	1.473717265
336	1.473146124
337	1.472501002
338	1.471775453
339	1.471111844
340	1.470530804
341	1.470000095
342	1.46922589
343	1.468884567
344	1.468317341
345	1.467280513
346	1.466461983
347	1.466116721
348	1.465996434
349	1.465771108
350	1.465219933
351	1.464974882
352	1.464482567
353	1.464042898
354	1.463454153
355	1.462766203
356	1.462009447
357	1.461269577
358	1.460796802
359	1.460124419
360	1.459347029
361	1.458509365
362	1.457990128
363	1.45756639
364	1.45727161
365	1.456499876
366	1.455963718
367	1.455452549
368	1.454715317
369	1.454036793
370	1.453574035
371	1.453139568
372	1.452473451
373	1.451719923
374	1.451320624
375	1.451204699
376	1.450510366
377	1.449969398
378	1.449150419
379	1.448319893
380	1.447497124
381	1.446877572
382	1.446335892
383	1.445363415
384	1.444698755
385	1.444092667
386	1.443161681
387	1.442334349
388	1.441878803
389	1.441448052
390	1.441081868
391	1.440264408
392	1.439437197
393	1.438894357
394	1.438502522
395	1.437802584
396	1.437667771
397	1.437176196
398	1.436900442
399	1.436167955
400	1.435768689
401	1.435049779
402	1.434273702
403	1.433659835
404	1.433390683
405	1.432693064
406	1.432081929
407	1.431368501
408	1.430900232
409	1.42992164
410	1.429593736
411	1.428923785
412	1.427926401
413	1.427465828
414	1.426332455
415	1.425870599
416	1.425660581
417	1.425454734
418	1.424704419
419	1.424398376
420	1.424006077
421	1.423175696
422	1.422469384
423	1.422206571
424	1.421560542
425	1.420944145
426	1.420783203
427	1.419886463
428	1.419566026
429	1.418940297
430	1.418428256
