iter	Passed	Remaining
0	62	30945
1	73	18371
2	84	13929
3	94	11745
4	101	10037
5	108	8970
6	116	8221
7	123	7591
8	130	7115
9	138	6808
10	145	6478
11	152	6199
12	158	5945
13	165	5742
14	172	5571
15	179	5439
16	186	5306
17	193	5181
18	200	5064
19	207	4972
20	213	4874
21	220	4784
22	226	4697
23	232	4620
24	240	4560
25	246	4490
26	253	4448
27	260	4393
28	267	4348
29	274	4292
30	280	4238
31	287	4198
32	294	4163
33	301	4127
34	308	4100
35	316	4074
36	323	4042
37	329	4011
38	336	3983
39	344	3960
40	350	3927
41	359	3916
42	365	3883
43	372	3860
44	380	3844
45	386	3815
46	393	3793
47	400	3767
48	406	3745
49	413	3720
50	419	3694
51	428	3688
52	436	3678
53	443	3663
54	447	3623
55	454	3602
56	461	3584
57	467	3562
58	474	3543
59	480	3523
60	487	3505
61	493	3486
62	500	3469
63	507	3455
64	513	3438
65	520	3423
66	527	3408
67	534	3393
68	540	3377
69	547	3360
70	553	3345
71	560	3332
72	566	3316
73	573	3302
74	580	3288
75	587	3275
76	593	3261
77	600	3246
78	606	3232
79	613	3221
80	620	3208
81	626	3195
82	633	3183
83	640	3169
84	646	3158
85	653	3144
86	659	3131
87	665	3118
88	672	3104
89	678	3092
90	685	3080
91	692	3069
92	699	3060
93	705	3048
94	712	3037
95	719	3027
96	725	3015
97	732	3005
98	739	2994
99	746	2985
100	753	2977
101	760	2968
102	767	2956
103	773	2946
104	780	2937
105	788	2929
106	795	2920
107	798	2899
108	805	2888
109	811	2878
110	818	2867
111	824	2857
112	831	2848
113	838	2839
114	845	2829
115	851	2819
116	851	2788
117	858	2778
118	868	2779
119	874	2768
120	880	2758
121	887	2750
122	894	2741
123	901	2732
124	907	2723
125	914	2713
126	920	2704
127	927	2696
128	928	2669
129	934	2659
130	935	2634
131	941	2624
132	947	2615
133	954	2606
134	960	2597
135	967	2588
136	973	2579
137	975	2558
138	982	2550
139	989	2543
140	996	2536
141	1002	2527
142	1009	2519
143	1009	2496
144	1016	2488
145	1022	2480
146	1029	2472
147	1035	2463
148	1042	2455
149	1048	2447
150	1050	2428
151	1058	2422
152	1065	2415
153	1072	2409
154	1079	2401
155	1085	2394
156	1092	2386
157	1099	2380
158	1106	2372
159	1113	2365
160	1120	2358
161	1126	2350
162	1133	2343
163	1140	2336
164	1146	2328
165	1153	2320
166	1160	2313
167	1166	2306
168	1173	2298
169	1180	2291
170	1187	2284
171	1188	2267
172	1198	2264
173	1204	2256
174	1211	2249
175	1218	2242
176	1224	2235
177	1231	2227
178	1237	2219
179	1244	2212
180	1251	2205
181	1258	2198
182	1264	2190
183	1271	2183
184	1277	2175
185	1284	2167
186	1290	2160
187	1297	2152
188	1303	2144
189	1309	2137
190	1313	2125
191	1320	2117
192	1326	2110
193	1333	2103
194	1340	2096
195	1346	2088
196	1353	2081
197	1361	2076
198	1367	2068
199	1374	2062
200	1381	2055
201	1388	2048
202	1395	2041
203	1402	2035
204	1411	2030
205	1417	2022
206	1424	2016
207	1431	2009
208	1438	2003
209	1445	1996
210	1451	1988
211	1458	1981
212	1465	1974
213	1471	1967
214	1478	1959
215	1485	1952
216	1491	1945
217	1498	1938
218	1505	1931
219	1512	1924
220	1518	1917
221	1525	1910
222	1532	1904
223	1540	1897
224	1546	1890
225	1553	1883
226	1560	1876
227	1566	1868
228	1572	1861
229	1573	1846
230	1579	1839
231	1586	1832
232	1593	1825
233	1599	1817
234	1605	1810
235	1612	1803
236	1618	1796
237	1625	1789
238	1627	1777
239	1634	1770
240	1640	1763
241	1649	1758
242	1656	1751
243	1662	1744
244	1669	1737
245	1675	1730
246	1682	1723
247	1689	1716
248	1695	1709
249	1702	1702
250	1708	1695
251	1715	1688
252	1716	1675
253	1723	1668
254	1729	1661
255	1735	1654
256	1742	1647
257	1749	1640
258	1750	1629
259	1757	1622
260	1764	1615
261	1770	1608
262	1777	1601
263	1784	1595
264	1790	1588
265	1797	1581
266	1803	1574
267	1810	1567
268	1816	1559
269	1822	1552
270	1829	1545
271	1836	1539
272	1842	1532
273	1849	1525
274	1856	1519
275	1863	1512
276	1871	1506
277	1878	1499
278	1885	1493
279	1892	1486
280	1898	1479
281	1905	1473
282	1912	1466
283	1919	1459
284	1926	1453
285	1932	1446
286	1940	1439
287	1946	1433
288	1953	1426
289	1960	1419
290	1967	1412
291	1973	1406
292	1974	1395
293	1981	1388
294	1987	1381
295	1994	1374
296	2000	1367
297	2007	1360
298	2014	1354
299	2020	1347
300	2027	1340
301	2033	1333
302	2040	1326
303	2046	1319
304	2053	1312
305	2059	1305
306	2066	1299
307	2072	1292
308	2079	1285
309	2086	1278
