iter	RMSE
0	2.122566034
1	2.090546266
2	2.060423852
3	2.030361416
4	2.002722899
5	1.973862462
6	1.948169808
7	1.925221357
8	1.90467103
9	1.887993468
10	1.866383353
11	1.845599334
12	1.82705183
13	1.810411997
14	1.793297208
15	1.780102808
16	1.765400489
17	1.753217467
18	1.740481882
19	1.727036578
20	1.713391899
21	1.698287284
22	1.688109535
23	1.678280536
24	1.668532037
25	1.659035785
26	1.648803241
27	1.637966674
28	1.629632316
29	1.620198783
30	1.611410199
31	1.602827786
32	1.591942081
33	1.584672202
34	1.576448553
35	1.569322709
36	1.560566843
37	1.553630286
38	1.547396376
39	1.540591875
40	1.534417199
41	1.528606578
42	1.522424252
43	1.517672788
44	1.511499328
45	1.503970993
46	1.49571421
47	1.489688716
48	1.484020665
49	1.477783346
50	1.472993663
51	1.468274367
52	1.462464216
53	1.455576733
54	1.451931366
55	1.448613091
56	1.444274817
57	1.44071705
58	1.437014585
59	1.432035254
60	1.428613532
61	1.423857252
62	1.419980816
63	1.416352928
64	1.414682018
65	1.411059681
66	1.406415935
67	1.402610552
68	1.399397594
69	1.396619806
70	1.392222543
71	1.388667401
72	1.385324641
73	1.382104149
74	1.379607649
75	1.376371795
76	1.372998468
77	1.369892938
78	1.365602256
79	1.362052167
80	1.358247712
81	1.355753154
82	1.352799858
83	1.348405853
84	1.345367252
85	1.34282929
86	1.337093034
87	1.333155925
88	1.330431877
89	1.328067333
90	1.323766081
91	1.321197469
92	1.317749197
93	1.315285579
94	1.312444467
95	1.310039866
96	1.307757804
97	1.304813879
98	1.301873731
99	1.299256994
100	1.296854582
101	1.293417656
102	1.289044543
103	1.286806678
104	1.284063111
105	1.282382041
106	1.278976002
107	1.276141977
108	1.273792555
109	1.269843658
110	1.267408339
111	1.265210073
112	1.263360507
113	1.261194945
114	1.259875693
115	1.256583051
116	1.254527608
117	1.251102385
118	1.249237199
119	1.246033143
120	1.243761185
121	1.240677012
122	1.237283733
123	1.233743745
124	1.230068204
125	1.227973382
126	1.224771917
127	1.222522848
128	1.218994412
129	1.216188388
130	1.213951344
131	1.211245404
132	1.209143993
133	1.206613785
134	1.203896737
135	1.200206192
136	1.195632677
137	1.193468264
138	1.190939712
139	1.187646643
140	1.184916744
141	1.182972252
142	1.181107441
143	1.177863301
144	1.174698033
145	1.171898966
146	1.168874235
147	1.166762303
148	1.164301679
149	1.161573798
150	1.158929043
151	1.156690606
152	1.154867841
153	1.153336629
154	1.151880866
155	1.149241251
156	1.146117989
157	1.143436427
158	1.14025413
159	1.138327039
160	1.136203058
161	1.134088321
162	1.131339685
163	1.129489841
164	1.126798289
165	1.124487257
166	1.123320658
167	1.120659523
168	1.118881265
169	1.117243093
170	1.116235758
171	1.114566917
172	1.112149965
173	1.111109563
174	1.107913456
175	1.105695154
176	1.102606345
177	1.100016012
178	1.099024168
179	1.096690425
180	1.093946659
181	1.090158328
182	1.088801662
183	1.087837488
184	1.084859583
185	1.081642376
186	1.079991168
187	1.078570426
188	1.076232258
189	1.074537303
190	1.071950104
191	1.069741033
192	1.067237488
193	1.065150965
194	1.063671464
195	1.062659849
196	1.060660533
197	1.057885128
198	1.055567321
199	1.052711579
200	1.051619198
201	1.049651179
202	1.048547183
203	1.047638508
204	1.046715282
205	1.044549514
206	1.042318711
207	1.040176509
208	1.037844057
209	1.037140647
210	1.034422431
211	1.033758337
212	1.03179699
213	1.029391057
214	1.027401673
215	1.02597749
216	1.023433721
217	1.021015951
218	1.019718274
219	1.016926686
220	1.014332854
221	1.011592253
222	1.010662136
223	1.00972594
224	1.007261066
225	1.005514332
226	1.003853787
227	1.002888445
228	1.000123131
229	0.9981664279
230	0.9975050572
231	0.9958919682
232	0.9950369353
233	0.9941216033
234	0.9918445247
235	0.9892637921
236	0.9872059647
237	0.9846993966
238	0.9820879501
239	0.9811968337
240	0.9788902396
241	0.9765362254
242	0.9752674399
243	0.9736370392
244	0.9715089621
245	0.9698381785
246	0.9676491992
247	0.9670421895
248	0.9651816312
249	0.9634373162
250	0.9616537338
251	0.9605137703
252	0.9590414943
253	0.957546883
254	0.9560729472
255	0.954072901
256	0.9525977918
257	0.9514279238
258	0.9487470215
259	0.9466222886
260	0.9453007239
261	0.9434784661
262	0.9426962444
263	0.9411357445
264	0.9391385183
265	0.9367678965
266	0.9353051136
267	0.934331437
268	0.9339156854
269	0.9322526143
270	0.9304225028
271	0.929254419
272	0.9275241483
273	0.9253129546
274	0.9235634716
275	0.9230863169
276	0.9218333761
277	0.9207765662
278	0.919585305
279	0.9179655276
280	0.9162705975
281	0.9148658345
282	0.9132395412
283	0.9119556638
284	0.9116148558
285	0.9100406925
286	0.9082153368
287	0.906782553
288	0.9051398119
289	0.9029092871
290	0.9022382926
291	0.9010144267
292	0.8995362343
293	0.8986391828
294	0.8962113407
295	0.8947259976
296	0.8939813812
297	0.8936754654
298	0.8928004124
299	0.8916243896
