iter	Passed	Remaining
0	49	14843
1	51	7681
2	53	5300
3	55	4101
4	57	3383
5	59	2907
6	61	2563
7	63	2313
8	65	2109
9	67	1949
10	69	1815
11	70	1702
12	72	1605
13	74	1524
14	76	1454
15	78	1390
16	80	1336
17	82	1288
18	84	1243
19	85	1202
20	87	1166
21	89	1132
22	91	1102
23	93	1075
24	95	1048
25	97	1024
26	99	1001
27	100	979
28	102	959
29	104	941
30	106	924
31	108	908
32	110	892
33	112	878
34	114	864
35	116	852
36	118	839
37	120	828
38	122	816
39	123	805
40	125	795
41	127	786
42	129	776
43	131	767
44	133	758
45	135	749
46	137	740
47	139	731
48	141	723
49	143	716
50	145	708
51	146	700
52	148	693
53	150	686
54	152	680
55	154	673
56	156	667
57	158	661
58	160	656
59	162	651
60	164	645
61	166	640
62	168	635
63	170	630
64	173	626
65	175	620
66	176	615
67	178	610
68	180	605
69	182	600
70	184	596
71	186	591
72	188	586
73	190	581
74	192	577
75	194	572
76	196	568
77	198	564
78	200	559
79	202	555
80	204	551
81	206	547
82	208	543
83	211	542
84	213	539
85	215	536
86	217	532
87	219	529
88	221	526
89	223	522
90	225	518
91	227	514
92	229	511
93	231	507
94	233	503
95	235	499
96	236	495
97	238	492
98	240	488
99	242	485
100	244	482
101	246	478
102	248	475
103	250	471
104	252	468
105	254	464
106	255	461
107	257	458
108	259	454
109	261	451
110	263	448
111	265	445
112	266	441
113	268	438
114	270	435
115	272	432
116	274	429
117	276	426
118	278	423
119	280	420
120	282	417
121	283	414
122	285	410
123	287	407
124	289	404
125	291	402
126	293	399
127	295	396
128	297	393
129	299	391
130	300	388
131	302	385
132	304	382
133	306	380
134	308	377
135	310	374
136	312	371
137	314	368
138	316	366
139	317	363
140	319	360
141	321	358
142	323	355
143	325	352
144	327	349
145	329	347
146	331	344
147	332	341
148	334	339
149	336	336
150	338	334
151	340	331
152	342	328
153	344	326
154	345	323
155	347	321
156	349	318
157	351	315
158	353	313
159	355	310
160	357	308
161	358	305
162	360	303
163	362	300
164	364	298
165	366	295
166	368	293
167	370	290
168	372	288
169	374	286
170	376	283
171	377	281
172	379	278
173	381	276
174	383	274
175	385	271
176	387	269
177	389	266
178	391	264
179	393	262
180	394	259
181	396	257
182	398	255
183	400	252
184	402	250
185	404	248
186	406	245
187	408	243
188	410	240
189	412	238
190	414	236
191	416	234
192	417	231
193	419	229
194	421	227
195	423	224
196	425	222
197	427	220
198	429	217
199	430	215
200	432	213
201	434	210
202	436	208
203	438	206
204	440	203
205	442	201
206	443	199
207	445	197
208	447	195
209	449	192
210	451	190
211	453	188
212	455	186
213	457	183
214	459	181
215	461	179
216	463	177
217	464	174
218	466	172
219	468	170
220	470	168
221	472	166
222	474	163
223	476	161
224	478	159
225	480	157
226	482	155
227	483	152
228	485	150
229	487	148
230	489	146
231	491	144
232	493	141
233	495	139
234	497	137
235	499	135
236	501	133
237	502	131
238	504	128
239	506	126
240	508	124
241	510	122
242	512	120
243	513	117
244	515	115
245	517	113
246	519	111
247	521	109
248	523	107
249	525	105
250	527	102
251	529	100
252	531	98
253	533	96
254	535	94
255	536	92
256	538	90
257	540	88
258	542	85
259	544	83
260	546	81
261	548	79
262	550	77
263	552	75
264	553	73
265	555	71
266	557	68
267	559	66
268	561	64
269	563	62
270	565	60
271	567	58
272	568	56
273	570	54
274	572	52
275	574	49
276	576	47
277	578	45
278	580	43
279	582	41
280	584	39
281	586	37
282	588	35
283	590	33
284	592	31
285	594	29
286	596	27
287	598	24
288	600	22
289	602	20
290	604	18
291	606	16
292	608	14
293	609	12
294	611	10
295	613	8
296	615	6
297	617	4
298	619	2
299	620	0
